h0,h1,h2,h3,h4,Final Score
1,2,6,7,4,31953.0
1,2,6,7,0,58066.0
1,2,6,7,9,60078.0
1,2,6,7,6,57363.0
1,2,6,2,0,66547.0
1,2,6,2,11,74192.0
1,2,6,2,5,67365.0
1,2,6,2,6,66279.0
1,2,6,9,5,69719.0
1,2,6,9,4,28783.0
1,2,6,9,3,68260.0
1,2,6,9,1,69269.0
1,2,6,8,1,69365.0
1,2,6,8,10,70657.0
1,2,6,8,4,25617.0
1,2,6,8,8,70657.0
1,2,1,11,1,78488.0
1,2,1,11,10,83966.0
1,2,1,11,6,79619.0
1,2,1,11,8,83966.0
1,2,1,8,7,56008.0
1,2,1,8,11,80137.0
1,2,1,8,9,71230.0
1,2,1,8,0,69169.0
1,2,1,2,1,71170.0
1,2,1,2,6,68567.0
1,2,1,2,8,71170.0
1,2,1,2,4,31087.0
1,2,1,1,11,76529.0
1,2,1,1,3,69081.0
1,2,1,1,6,67188.0
1,2,1,1,1,71230.0
1,2,0,0,6,66550.0
1,2,0,0,3,69472.0
1,2,0,0,9,70265.0
1,2,0,0,2,70175.0
1,2,0,11,10,76379.0
1,2,0,11,7,61560.0
1,2,0,11,0,70875.0
1,2,0,11,2,70969.0
1,2,0,2,7,59071.0
1,2,0,2,4,31643.0
1,2,0,2,11,76717.0
1,2,0,2,5,69240.0
1,2,0,5,7,60912.0
1,2,0,5,1,67515.0
1,2,0,5,4,33782.0
1,2,0,5,2,68943.0
1,2,5,6,11,74157.0
1,2,5,6,2,65947.0
1,2,5,6,0,65023.0
1,2,5,6,10,67447.0
1,2,5,7,8,63270.0
1,2,5,7,10,63270.0
1,2,5,7,1,62118.0
1,2,5,7,4,25858.0
1,2,5,4,5,30177.0
1,2,5,4,0,29153.0
1,2,5,4,6,30081.0
1,2,5,4,7,25971.0
1,2,5,9,8,70939.0
1,2,5,9,0,68647.0
1,2,5,9,2,70369.0
1,2,5,9,1,69431.0
1,7,10,9,4,28814.0
1,7,10,9,1,63301.0
1,7,10,9,5,62485.0
1,7,10,9,10,63435.0
1,7,10,10,0,61493.0
1,7,10,10,1,63401.0
1,7,10,10,10,63435.0
1,7,10,10,5,63433.0
1,7,10,4,9,30857.0
1,7,10,4,8,30857.0
1,7,10,4,4,16071.0
1,7,10,4,11,36893.0
1,7,10,1,7,55286.0
1,7,10,1,5,63379.0
1,7,10,1,8,63401.0
1,7,10,1,10,63401.0
1,7,8,6,8,60824.0
1,7,8,6,1,60778.0
1,7,8,6,6,56449.0
1,7,8,6,0,58889.0
1,7,8,2,1,54345.0
1,7,8,2,10,57445.0
1,7,8,2,4,21446.0
1,7,8,2,9,57445.0
1,7,8,0,0,61505.0
1,7,8,0,10,61505.0
1,7,8,0,2,55575.0
1,7,8,0,9,61505.0
1,7,8,10,9,63435.0
1,7,8,10,2,57435.0
1,7,8,10,7,54159.0
1,7,8,10,4,27819.0
1,7,7,0,6,51904.0
1,7,7,0,0,53032.0
1,7,7,0,11,62554.0
1,7,7,0,2,44892.0
1,7,7,10,11,67575.0
1,7,7,10,3,53279.0
1,7,7,10,2,45596.0
1,7,7,10,8,53776.0
1,7,7,6,0,49445.0
1,7,7,6,6,47650.0
1,7,7,6,3,48583.0
1,7,7,6,7,42039.0
1,7,7,3,7,47499.0
1,7,7,3,9,52799.0
1,7,7,3,11,60519.0
1,7,7,3,1,52499.0
1,7,0,9,2,55641.0
1,7,0,9,5,61392.0
1,7,0,9,1,61451.0
1,7,0,9,6,59593.0
1,7,0,2,1,51565.0
1,7,0,2,4,26292.0
1,7,0,2,7,47459.0
1,7,0,2,10,55511.0
1,7,0,0,7,51266.0
1,7,0,0,6,58821.0
1,7,0,0,2,56171.0
1,7,0,0,0,61501.0
1,7,0,7,0,49879.0
1,7,0,7,7,43097.0
1,7,0,7,4,22664.0
1,7,0,7,10,50035.0
1,5,4,5,11,36921.0
1,5,4,5,4,15157.0
1,5,4,5,0,28947.0
1,5,4,5,3,29042.0
1,5,4,7,7,26340.0
1,5,4,7,4,18033.0
1,5,4,7,9,28486.0
1,5,4,7,8,28486.0
1,5,4,8,11,39410.0
1,5,4,8,3,28509.0
1,5,4,8,2,22690.0
1,5,4,8,8,30110.0
1,5,4,9,7,24295.0
1,5,4,9,9,30110.0
1,5,4,9,11,38641.0
1,5,4,9,6,28033.0
1,5,7,8,5,61965.0
1,5,7,8,7,50015.0
1,5,7,8,2,54355.0
1,5,7,8,10,61965.0
1,5,7,6,10,59287.0
1,5,7,6,9,59287.0
1,5,7,6,11,67789.0
1,5,7,6,4,26101.0
1,5,7,4,3,23458.0
1,5,7,4,9,24580.0
1,5,7,4,11,32199.0
1,5,7,4,2,18800.0
1,5,7,1,9,61709.0
1,5,7,1,4,18947.0
1,5,7,1,3,58085.0
1,5,7,1,11,67949.0
1,5,0,7,9,61908.0
1,5,0,7,0,61827.0
1,5,0,7,8,61908.0
1,5,0,7,2,55758.0
1,5,0,4,2,21132.0
1,5,0,4,5,28818.0
1,5,0,4,1,28610.0
1,5,0,4,3,28575.0
1,5,0,10,8,71248.0
1,5,0,10,3,69257.0
1,5,0,10,1,71020.0
1,5,0,10,11,75750.0
1,5,0,5,5,68973.0
1,5,0,5,7,60296.0
1,5,0,5,6,65499.0
1,5,0,5,11,75696.0
1,5,1,1,5,72184.0
1,5,1,1,1,73108.0
1,5,1,1,2,70868.0
1,5,1,1,11,79512.0
1,5,1,0,1,71213.0
1,5,1,0,3,69671.0
1,5,1,0,8,71245.0
1,5,1,0,2,69365.0
1,5,1,3,4,32055.0
1,5,1,3,9,70678.0
1,5,1,3,1,70126.0
1,5,1,3,5,70579.0
1,5,1,8,10,73108.0
1,5,1,8,1,73108.0
1,5,1,8,4,35459.0
1,5,1,8,0,71247.0
1,3,7,6,1,55977.0
1,3,7,6,7,49922.0
1,3,7,6,4,23025.0
1,3,7,6,5,55485.0
1,3,7,10,5,59064.0
1,3,7,10,4,24279.0
1,3,7,10,2,53962.0
1,3,7,10,1,59182.0
1,3,7,0,8,59447.0
1,3,7,0,3,57213.0
1,3,7,0,11,64663.0
1,3,7,0,6,58932.0
1,3,7,9,7,45545.0
1,3,7,9,3,58491.0
1,3,7,9,9,59872.0
1,3,7,9,5,59872.0
1,3,11,8,9,79939.0
1,3,11,8,0,73176.0
1,3,11,8,5,77545.0
1,3,11,8,4,34631.0
1,3,11,0,5,72258.0
1,3,11,0,7,59197.0
1,3,11,0,4,28883.0
1,3,11,0,9,72874.0
1,3,11,4,9,34947.0
1,3,11,4,5,34934.0
1,3,11,4,11,43029.0
1,3,11,4,10,34947.0
1,3,11,2,8,73559.0
1,3,11,2,9,73559.0
1,3,11,2,1,71383.0
1,3,11,2,5,71458.0
1,3,2,2,2,70681.0
1,3,2,2,6,68773.0
1,3,2,2,4,31777.0
1,3,2,2,3,69475.0
1,3,2,6,7,58626.0
1,3,2,6,0,67702.0
1,3,2,6,4,26917.0
1,3,2,6,10,68735.0
1,3,2,1,4,25018.0
1,3,2,1,9,68759.0
1,3,2,1,6,65761.0
1,3,2,1,2,68639.0
1,3,2,8,3,69980.0
1,3,2,8,10,70681.0
1,3,2,8,7,59237.0
1,3,2,8,0,69606.0
1,3,8,9,9,72411.0
1,3,8,9,2,70801.0
1,3,8,9,10,72411.0
1,3,8,9,3,70559.0
1,3,8,8,5,70743.0
1,3,8,8,1,71997.0
1,3,8,8,6,68223.0
1,3,8,8,9,72411.0
1,3,8,2,11,80842.0
1,3,8,2,9,70941.0
1,3,8,2,8,70941.0
1,3,8,2,3,68611.0
1,3,8,10,10,72411.0
1,3,8,10,5,70841.0
1,3,8,10,0,71876.0
1,3,8,10,9,72411.0
11,11,6,3,4,47988.0
11,11,6,3,10,125786.0
11,11,6,3,6,121403.0
11,11,6,3,8,125786.0
11,11,6,0,2,97113.0
11,11,6,0,0,127903.0
11,11,6,0,8,127903.0
11,11,6,0,3,123068.0
11,11,6,7,8,107956.0
11,11,6,7,9,107956.0
11,11,6,7,11,118856.0
11,11,6,7,6,102558.0
11,11,6,2,2,93348.0
11,11,6,2,1,69856.0
11,11,6,2,9,93348.0
11,11,6,2,10,93348.0
11,11,7,7,3,83629.0
11,11,7,7,4,40571.0
11,11,7,7,1,52178.0
11,11,7,7,11,101543.0
11,11,7,9,2,80680.0
11,11,7,9,0,111676.0
11,11,7,9,8,122380.0
11,11,7,9,6,117785.0
11,11,7,0,5,110782.0
11,11,7,0,4,41667.0
11,11,7,0,11,119700.0
11,11,7,0,2,81242.0
11,11,7,6,9,122379.0
11,11,7,6,6,117145.0
11,11,7,6,3,106968.0
11,11,7,6,11,129695.0
11,11,5,6,9,139171.0
11,11,5,6,2,96491.0
11,11,5,6,4,55177.0
11,11,5,6,8,139171.0
11,11,5,4,0,44888.0
11,11,5,4,3,43156.0
11,11,5,4,6,45981.0
11,11,5,4,11,56800.0
11,11,5,7,0,104468.0
11,11,5,7,9,117266.0
11,11,5,7,1,66116.0
11,11,5,7,4,36360.0
11,11,5,8,7,117058.0
11,11,5,8,2,100260.0
11,11,5,8,9,145040.0
11,11,5,8,6,137368.0
11,11,9,1,4,26469.0
11,11,9,1,0,68064.0
11,11,9,1,5,81432.0
11,11,9,1,6,77311.0
11,11,9,2,7,84668.0
11,11,9,2,2,106190.0
11,11,9,2,1,76100.0
11,11,9,2,4,38160.0
11,11,9,6,3,129817.0
11,11,9,6,6,136773.0
11,11,9,6,5,142491.0
11,11,9,6,7,128489.0
11,11,9,5,6,143747.0
11,11,9,5,5,147529.0
11,11,9,5,4,53490.0
11,11,9,5,7,127070.0
11,6,5,6,4,35388.0
11,6,5,6,3,118431.0
11,6,5,6,7,110058.0
11,6,5,6,2,87062.0
11,6,5,11,7,114168.0
11,6,5,11,2,92182.0
11,6,5,11,8,136592.0
11,6,5,11,0,126535.0
11,6,5,2,11,94891.0
11,6,5,2,3,86007.0
11,6,5,2,6,87894.0
11,6,5,2,4,38206.0
11,6,5,5,1,69832.0
11,6,5,5,5,125509.0
11,6,5,5,0,122813.0
11,6,5,5,2,92638.0
11,6,1,10,3,65119.0
11,6,1,10,2,67167.0
11,6,1,10,4,20730.0
11,6,1,10,5,70797.0
11,6,1,1,7,61902.0
11,6,1,1,11,81159.0
11,6,1,1,0,65594.0
11,6,1,1,10,72477.0
11,6,1,6,7,60271.0
11,6,1,6,4,27434.0
11,6,1,6,0,62263.0
11,6,1,6,2,62708.0
11,6,1,5,11,79279.0
11,6,1,5,10,71548.0
11,6,1,5,4,36338.0
11,6,1,5,6,66644.0
11,6,10,9,11,141386.0
11,6,10,9,6,129288.0
11,6,10,9,4,49401.0
11,6,10,9,1,72271.0
11,6,10,10,11,141381.0
11,6,10,10,3,127923.0
11,6,10,10,5,131812.0
11,6,10,10,9,135283.0
11,6,10,7,9,109387.0
11,6,10,7,7,91751.0
11,6,10,7,6,107512.0
11,6,10,7,4,35308.0
11,6,10,2,2,98973.0
11,6,10,2,10,98973.0
11,6,10,2,6,95786.0
11,6,10,2,1,68561.0
11,6,0,5,10,126622.0
11,6,0,5,1,65908.0
11,6,0,5,7,105430.0
11,6,0,5,3,123679.0
11,6,0,7,4,39992.0
11,6,0,7,7,93379.0
11,6,0,7,6,103533.0
11,6,0,7,0,107404.0
11,6,0,3,8,124902.0
11,6,0,3,7,105817.0
11,6,0,3,10,124902.0
11,6,0,3,2,93152.0
11,6,0,11,7,115762.0
11,6,0,11,8,135920.0
11,6,0,11,4,44031.0
11,6,0,11,10,135920.0
11,7,4,2,1,17712.0
11,7,4,2,8,25850.0
11,7,4,2,5,25814.0
11,7,4,2,11,33397.0
11,7,4,1,9,29282.0
11,7,4,1,3,26423.0
11,7,4,1,4,14834.0
11,7,4,1,1,29282.0
11,7,4,6,9,46479.0
11,7,4,6,4,19677.0
11,7,4,6,7,36768.0
11,7,4,6,8,46479.0
11,7,4,3,6,42562.0
11,7,4,3,11,50103.0
11,7,4,3,9,43294.0
11,7,4,3,7,38532.0
11,7,6,5,6,97949.0
11,7,6,5,9,106062.0
11,7,6,5,11,115167.0
11,7,6,5,0,102717.0
11,7,6,1,2,54096.0
11,7,6,1,6,60930.0
11,7,6,1,5,60388.0
11,7,6,1,4,32626.0
11,7,6,8,4,37960.0
11,7,6,8,9,110304.0
11,7,6,8,1,62302.0
11,7,6,8,7,96677.0
11,7,6,11,8,115886.0
11,7,6,11,6,105338.0
11,7,6,11,3,105283.0
11,7,6,11,10,115886.0
11,7,2,6,1,55717.0
11,7,2,6,0,69090.0
11,7,2,6,8,77137.0
