h0,h1,h2,h3,h4,Final Score
11,2,10,4,2,30045.0
11,2,10,4,11,44650.0
11,2,10,4,6,38492.0
11,2,10,4,3,38389.0
11,2,10,0,7,83482.0
11,2,10,0,1,71355.0
11,2,10,0,10,96939.0
11,2,10,0,2,96199.0
11,2,10,5,2,100624.0
11,2,10,5,5,97796.0
11,2,10,5,8,102614.0
11,2,10,5,4,39342.0
11,2,10,10,2,103988.0
11,2,10,10,11,110713.0
11,2,10,10,5,102176.0
11,2,10,10,1,75314.0
11,2,8,7,7,65367.0
11,2,8,7,2,70359.0
11,2,8,7,5,78726.0
11,2,8,7,1,58599.0
11,2,8,0,10,96953.0
11,2,8,0,11,106873.0
11,2,8,0,2,96123.0
11,2,8,0,8,96953.0
11,2,8,8,8,103988.0
11,2,8,8,11,110196.0
11,2,8,8,3,98288.0
11,2,8,8,10,103988.0
11,2,8,5,6,98138.0
11,2,8,5,0,95917.0
11,2,8,5,4,40021.0
11,2,8,5,9,102894.0
11,2,11,10,2,104711.0
11,2,11,10,5,112663.0
11,2,11,10,10,114131.0
11,2,11,10,6,105700.0
11,2,11,7,10,94974.0
11,2,11,7,2,80334.0
11,2,11,7,9,94974.0
11,2,11,7,3,82716.0
11,2,11,11,4,40853.0
11,2,11,11,9,120780.0
11,2,11,11,8,120780.0
11,2,11,11,3,106802.0
11,2,11,5,2,99943.0
11,2,11,5,6,107957.0
11,2,11,5,5,108568.0
11,2,11,5,9,112123.0
11,2,5,7,4,32827.0
11,2,5,7,1,61800.0
11,2,5,7,10,85224.0
11,2,5,7,9,85224.0
11,2,5,2,2,101207.0
11,2,5,2,11,110026.0
11,2,5,2,5,100367.0
11,2,5,2,1,73245.0
11,2,5,1,10,72551.0
11,2,5,1,8,72551.0
11,2,5,1,5,71680.0
11,2,5,1,4,27149.0
11,2,5,11,5,107816.0
11,2,5,11,6,104300.0
11,2,5,11,7,89920.0
11,2,5,11,10,109018.0
11,0,9,2,9,107308.0
11,0,9,2,10,107308.0
11,0,9,2,6,96718.0
11,0,9,2,3,103350.0
11,0,9,6,8,125943.0
11,0,9,6,9,125943.0
11,0,9,6,3,123692.0
11,0,9,6,11,133345.0
11,0,9,0,0,135828.0
11,0,9,0,8,135828.0
11,0,9,0,10,135828.0
11,0,9,0,4,52899.0
11,0,9,7,1,60634.0
11,0,9,7,0,114692.0
11,0,9,7,11,120344.0
11,0,9,7,8,114834.0
11,0,10,0,5,135827.0
11,0,10,0,10,135828.0
11,0,10,0,9,135828.0
11,0,10,0,8,135828.0
11,0,10,7,1,61051.0
11,0,10,7,11,118333.0
11,0,10,7,0,113428.0
11,0,10,7,2,77325.0
11,0,10,9,6,126963.0
11,0,10,9,11,140548.0
11,0,10,9,10,135828.0
11,0,10,9,9,135828.0
11,0,10,8,11,141708.0
11,0,10,8,9,135828.0
11,0,10,8,10,135828.0
11,0,10,8,7,110913.0
11,0,4,5,3,45078.0
11,0,4,5,9,46378.0
11,0,4,5,6,38672.0
11,0,4,5,11,55598.0
11,0,4,1,8,31913.0
11,0,4,1,7,26776.0
11,0,4,1,0,31762.0
11,0,4,1,11,38349.0
11,0,4,3,0,43223.0
11,0,4,3,4,15222.0
11,0,4,3,10,43809.0
11,0,4,3,3,42728.0
11,0,4,10,0,46135.0
11,0,4,10,9,46407.0
11,0,4,10,7,35079.0
11,0,4,10,4,21364.0
11,0,11,6,7,108866.0
11,0,11,6,11,139183.0
11,0,11,6,9,134280.0
11,0,11,6,4,48077.0
11,0,11,5,2,104109.0
11,0,11,5,7,115294.0
11,0,11,5,0,132221.0
11,0,11,5,1,78299.0
11,0,11,9,6,136834.0
11,0,11,9,3,132979.0
11,0,11,9,10,142945.0
11,0,11,9,0,135707.0
11,0,11,0,6,129099.0
11,0,11,0,4,54704.0
11,0,11,0,3,131988.0
11,0,11,0,2,105238.0
11,5,7,5,11,114191.0
11,5,7,5,1,62850.0
11,5,7,5,4,36877.0
11,5,7,5,7,81120.0
11,5,7,3,2,73692.0
11,5,7,3,6,97120.0
11,5,7,3,7,87201.0
11,5,7,3,5,101007.0
11,5,7,6,1,59589.0
11,5,7,6,8,101215.0
11,5,7,6,6,94571.0
11,5,7,6,5,101208.0
11,5,7,9,0,105638.0
11,5,7,9,8,109884.0
11,5,7,9,6,108732.0
11,5,7,9,5,109840.0
11,5,9,7,8,116040.0
11,5,9,7,6,108640.0
11,5,9,7,5,113552.0
11,5,9,7,10,116040.0
11,5,9,8,11,143606.0
11,5,9,8,0,133036.0
11,5,9,8,10,138193.0
11,5,9,8,1,76803.0
11,5,9,9,11,144720.0
11,5,9,9,0,133242.0
11,5,9,9,9,138193.0
11,5,9,9,5,136950.0
11,5,9,0,11,143461.0
11,5,9,0,3,128022.0
11,5,9,0,5,130117.0
11,5,9,0,8,133020.0
11,5,8,0,5,131480.0
11,5,8,0,8,133346.0
11,5,8,0,3,130826.0
11,5,8,0,2,104066.0
11,5,8,7,10,116949.0
11,5,8,7,5,114600.0
11,5,8,7,11,125439.0
11,5,8,7,6,113504.0
11,5,8,11,8,145408.0
11,5,8,11,11,153392.0
11,5,8,11,7,120324.0
11,5,8,11,2,99978.0
11,5,8,8,10,138193.0
11,5,8,8,1,76353.0
11,5,8,8,0,133224.0
11,5,8,8,4,56543.0
11,5,1,0,10,68605.0
11,5,1,0,11,78542.0
11,5,1,0,4,30681.0
11,5,1,0,9,68605.0
11,5,1,10,11,84107.0
11,5,1,10,2,72151.0
11,5,1,10,9,75881.0
11,5,1,10,8,75881.0
11,5,1,4,8,28971.0
11,5,1,4,6,26465.0
11,5,1,4,5,28970.0
11,5,1,4,10,28971.0
11,5,1,8,8,75881.0
11,5,1,8,10,75881.0
11,5,1,8,0,68624.0
11,5,1,8,2,72221.0
11,4,4,2,8,17062.0
11,4,4,2,7,16593.0
11,4,4,2,0,16105.0
11,4,4,2,4,12818.0
11,4,4,10,9,24302.0
11,4,4,10,3,23437.0
11,4,4,10,5,24290.0
11,4,4,10,8,24302.0
11,4,4,7,5,22110.0
11,4,4,7,1,17109.0
11,4,4,7,2,16223.0
11,4,4,7,6,19647.0
11,4,4,0,10,23869.0
11,4,4,0,8,23869.0
11,4,4,0,4,13732.0
11,4,4,0,7,22373.0
11,4,11,6,1,40087.0
11,4,11,6,0,58178.0
11,4,11,6,11,74216.0
11,4,11,6,6,65950.0
11,4,11,2,5,36691.0
11,4,11,2,7,33146.0
11,4,11,2,6,35808.0
11,4,11,2,3,30659.0
11,4,11,1,6,40464.0
11,4,11,1,7,35086.0
11,4,11,1,2,29087.0
11,4,11,1,5,40078.0
11,4,11,7,2,28586.0
11,4,11,7,4,21633.0
11,4,11,7,10,53736.0
11,4,11,7,1,31244.0
11,4,9,11,7,64067.0
11,4,9,11,6,67630.0
11,4,9,11,4,25604.0
11,4,9,11,3,54635.0
11,4,9,10,3,54177.0
11,4,9,10,8,60400.0
11,4,9,10,10,60400.0
11,4,9,10,2,34250.0
11,4,9,7,1,28001.0
11,4,9,7,8,48041.0
11,4,9,7,4,17021.0
11,4,9,7,7,36648.0
11,4,9,1,2,25674.0
11,4,9,1,10,34314.0
11,4,9,1,6,32451.0
11,4,9,1,9,34314.0
11,4,8,2,6,35764.0
11,4,8,2,2,36540.0
11,4,8,2,1,21538.0
11,4,8,2,5,36234.0
11,4,8,0,10,55975.0
11,4,8,0,4,27662.0
11,4,8,0,6,51616.0
11,4,8,0,8,55975.0
11,4,8,4,5,18559.0
11,4,8,4,7,16324.0
11,4,8,4,0,20791.0
11,4,8,4,11,26804.0
11,4,8,1,2,25482.0
11,4,8,1,7,30977.0
11,4,8,1,0,30993.0
11,4,8,1,10,35442.0
9,5,7,2,9,78154.0
9,5,7,2,8,78154.0
9,5,7,2,5,76515.0
9,5,7,2,3,72972.0
9,5,7,9,2,77064.0
9,5,7,9,3,108300.0
9,5,7,9,4,39865.0
9,5,7,9,5,108183.0
9,5,7,5,6,108116.0
9,5,7,5,10,108116.0
9,5,7,5,1,58462.0
9,5,7,5,7,88071.0
9,5,7,6,4,39887.0
9,5,7,6,11,117690.0
9,5,7,6,8,108511.0
9,5,7,6,6,103172.0
9,5,3,0,7,108629.0
9,5,3,0,4,48551.0
9,5,3,0,1,72865.0
9,5,3,0,8,128945.0
9,5,3,2,11,106795.0
9,5,3,2,9,98983.0
9,5,3,2,8,98983.0
9,5,3,2,4,35308.0
9,5,3,1,8,72711.0
9,5,3,1,4,35204.0
9,5,3,1,2,69791.0
9,5,3,1,7,63100.0
9,5,3,9,3,125569.0
9,5,3,9,0,128943.0
9,5,3,9,1,71831.0
9,5,3,9,4,47892.0
9,5,4,10,6,49567.0
9,5,4,10,7,46606.0
9,5,4,10,3,47163.0
9,5,4,10,11,56498.0
9,5,4,11,5,57873.0
9,5,4,11,3,48564.0
9,5,4,11,8,58694.0
9,5,4,11,6,57766.0
9,5,4,8,6,46823.0
9,5,4,8,7,45306.0
9,5,4,8,5,46248.0
9,5,4,8,8,49567.0
9,5,4,7,6,34105.0
9,5,4,7,7,32865.0
9,5,4,7,2,25339.0
9,5,4,7,11,49173.0
9,5,5,4,11,68597.0
9,5,5,4,5,58262.0
9,5,5,4,7,52727.0
9,5,5,4,8,60579.0
9,5,5,6,7,104741.0
9,5,5,6,6,118302.0
9,5,5,6,10,123235.0
9,5,5,6,1,66379.0
9,5,5,3,1,70523.0
9,5,5,3,7,105240.0
9,5,5,3,9,127057.0
9,5,5,3,3,124106.0
9,5,5,11,3,127041.0
9,5,5,11,6,132322.0
9,5,5,11,4,57356.0
9,5,5,11,5,132214.0
9,6,8,10,3,128755.0
9,6,8,10,8,132314.0
9,6,8,10,6,125316.0
9,6,8,10,9,132314.0
9,6,8,3,6,122722.0
9,6,8,3,2,100844.0
9,6,8,3,9,129654.0
9,6,8,3,3,126837.0
9,6,8,0,2,99944.0
9,6,8,0,11,140553.0
9,6,8,0,9,132044.0
9,6,8,0,0,132044.0
9,6,8,4,8,46652.0
9,6,8,4,9,46652.0
9,6,8,4,6,43945.0
9,6,8,4,0,46263.0
9,6,1,9,3,70261.0
9,6,1,9,8,72286.0
9,6,1,9,6,68142.0
9,6,1,9,0,70071.0
9,6,1,10,7,63438.0
9,6,1,10,6,69534.0
9,6,1,10,1,72286.0
9,6,1,10,4,26094.0
9,6,1,5,11,76133.0
9,6,1,5,10,70638.0
9,6,1,5,4,30221.0
9,6,1,5,7,62699.0
9,6,1,11,9,78807.0
9,6,1,11,11,86236.0
9,6,1,11,8,78807.0
9,6,1,11,2,72557.0
9,6,7,4,6,44166.0
9,6,7,4,4,21081.0
9,6,7,4,3,43224.0
9,6,7,4,5,41509.0
9,6,7,1,3,59719.0
9,6,7,1,1,62815.0
9,6,7,1,5,62711.0
9,6,7,1,7,53418.0
9,6,7,8,6,111774.0
9,6,7,8,3,110624.0
9,6,7,8,4,34520.0
9,6,7,8,11,120387.0
9,6,7,6,0,107725.0
9,6,7,6,11,114926.0
9,6,7,6,1,60043.0
9,6,7,6,6,101169.0
9,6,2,4,0,36332.0
9,6,2,4,8,39072.0
9,6,2,4,4,19798.0
9,6,2,4,2,27762.0
9,6,2,7,3,85795.0
9,6,2,7,1,61285.0
9,6,2,7,0,83796.0
9,6,2,7,2,79147.0
9,6,2,3,6,93041.0
9,6,2,3,8,97353.0
9,6,2,3,9,97353.0
9,6,2,3,11,104461.0
9,6,2,10,5,104248.0
9,6,2,10,1,72556.0
9,6,2,10,8,104274.0
9,6,2,10,6,101444.0
9,10,5,1,0,70377.0
9,10,5,1,4,25316.0
9,10,5,1,5,72050.0
9,10,5,1,1,72798.0
9,10,5,7,5,112383.0
9,10,5,7,11,123865.0
9,10,5,7,3,112878.0
9,10,5,7,6,111357.0
9,10,5,10,1,73374.0
9,10,5,10,5,132232.0
9,10,5,10,3,130898.0
9,10,5,10,9,134924.0
9,10,5,9,6,130619.0
9,10,5,9,2,107034.0
9,10,5,9,8,134924.0
9,10,5,9,7,108299.0
9,10,6,7,11,107290.0
9,10,6,7,6,95316.0
9,10,6,7,5,101196.0
9,10,6,7,1,56830.0
9,10,6,10,0,127357.0
9,10,6,10,10,127395.0
9,10,6,10,2,97545.0
9,10,6,10,9,127395.0
9,10,6,6,0,122030.0
9,10,6,6,9,122128.0
9,10,6,6,11,128734.0
9,10,6,6,5,121329.0
9,10,6,1,7,58220.0
9,10,6,1,6,66447.0
9,10,6,1,3,66640.0
9,10,6,1,5,68044.0
9,10,10,10,0,136440.0
9,10,10,10,8,136440.0
9,10,10,10,10,136440.0
9,10,10,10,3,132923.0
9,10,10,7,10,110752.0
9,10,10,7,6,104479.0
9,10,10,7,4,39212.0
9,10,10,7,3,109591.0
9,10,10,1,0,71903.0
9,10,10,1,8,73046.0
9,10,10,1,1,73046.0
9,10,10,1,3,71519.0
9,10,10,6,10,127235.0
9,10,10,6,0,127151.0
9,10,10,6,9,127235.0
9,10,10,6,3,123929.0
9,10,8,10,2,107370.0
9,10,8,10,3,133053.0
9,10,8,10,11,145564.0
9,10,8,10,8,136440.0
9,10,8,2,11,112575.0
9,10,8,2,0,98206.0
9,10,8,2,2,105860.0
9,10,8,2,5,103590.0
9,10,8,9,11,140851.0
9,10,8,9,7,110448.0
9,10,8,9,8,136440.0
9,10,8,9,3,130931.0
9,10,8,1,5,74086.0
9,10,8,1,6,72381.0
9,10,8,1,9,74930.0
9,10,8,1,7,63142.0
9,11,10,6,7,112943.0
9,11,10,6,4,51372.0
9,11,10,6,3,122720.0
9,11,10,6,10,135660.0
9,11,10,11,6,143441.0
9,11,10,11,2,100319.0
9,11,10,11,7,130943.0
