h0,h1,h2,h3,h4,Final Score
11,5,3,4,6,50268.0
11,5,3,4,2,32920.0
11,5,3,4,11,55617.0
11,5,3,4,5,52005.0
11,5,3,3,5,124031.0
11,5,3,3,7,106518.0
11,5,3,3,3,122088.0
11,5,3,3,2,99704.0
11,5,3,6,4,44329.0
11,5,3,6,2,92560.0
11,5,3,6,7,97825.0
11,5,3,6,11,132714.0
11,5,3,7,2,80276.0
11,5,3,7,3,111312.0
11,5,3,7,6,111651.0
11,5,3,7,4,45670.0
11,5,5,7,4,45649.0
11,5,5,7,7,90317.0
11,5,5,7,6,106190.0
11,5,5,7,11,116923.0
11,5,5,3,2,97769.0
11,5,5,3,4,44419.0
11,5,5,3,7,106651.0
11,5,5,3,6,117920.0
11,5,5,6,7,110451.0
11,5,5,6,11,139622.0
11,5,5,6,4,54601.0
11,5,5,6,1,71282.0
11,5,5,11,6,132795.0
11,5,5,11,3,129971.0
11,5,5,11,0,127786.0
11,5,5,11,5,139575.0
11,5,6,5,11,137393.0
11,5,6,5,6,120924.0
11,5,6,5,4,53898.0
11,5,6,5,2,90306.0
11,5,6,3,1,68826.0
11,5,6,3,11,129964.0
11,5,6,3,0,123352.0
11,5,6,3,7,102409.0
11,5,6,2,5,94727.0
11,5,6,2,2,96154.0
11,5,6,2,6,91662.0
11,5,6,2,4,38419.0
11,5,6,11,4,53431.0
11,5,6,11,11,145200.0
11,5,6,11,0,127397.0
11,5,6,11,3,130772.0
11,5,4,5,3,43863.0
11,5,4,5,1,28337.0
11,5,4,5,4,25394.0
11,5,4,5,5,47521.0
11,5,4,11,5,58126.0
11,5,4,11,4,20566.0
11,5,4,11,3,46675.0
11,5,4,11,7,47951.0
11,5,4,1,5,29687.0
11,5,4,1,6,29680.0
11,5,4,1,11,37409.0
11,5,4,1,3,27179.0
11,5,4,6,0,40384.0
11,5,4,6,5,41661.0
11,5,4,6,6,41638.0
11,5,4,6,7,33279.0
11,1,2,0,0,65785.0
11,1,2,0,11,71789.0
11,1,2,0,5,65785.0
11,1,2,0,7,57288.0
11,1,2,5,2,71243.0
11,1,2,5,5,69823.0
11,1,2,5,0,64963.0
11,1,2,5,6,69592.0
11,1,2,11,1,77198.0
11,1,2,11,5,79226.0
11,1,2,11,0,66968.0
11,1,2,11,7,66332.0
11,1,2,7,7,50105.0
11,1,2,7,0,58440.0
11,1,2,7,2,57192.0
11,1,2,7,4,29424.0
11,1,4,1,7,28473.0
11,1,4,1,3,28818.0
11,1,4,1,5,31722.0
11,1,4,1,4,18068.0
11,1,4,11,1,37226.0
11,1,4,11,2,26722.0
11,1,4,11,7,34183.0
11,1,4,11,11,47012.0
11,1,4,5,7,29053.0
11,1,4,5,5,30724.0
11,1,4,5,1,31634.0
11,1,4,5,6,31938.0
11,1,4,2,0,21494.0
11,1,4,2,5,23121.0
11,1,4,2,11,30324.0
11,1,4,2,7,21664.0
11,1,0,2,4,29099.0
11,1,0,2,2,65951.0
11,1,0,2,5,64631.0
11,1,0,2,1,64475.0
11,1,0,3,3,62477.0
11,1,0,3,11,73990.0
11,1,0,3,2,63726.0
11,1,0,3,1,64414.0
11,1,0,5,0,67286.0
11,1,0,5,4,27199.0
11,1,0,5,7,60397.0
11,1,0,5,6,65233.0
11,1,0,1,1,66915.0
11,1,0,1,0,66891.0
11,1,0,1,6,63382.0
11,1,0,1,2,65575.0
11,1,5,4,4,15994.0
