h0,h1,h2,h3,h4,h5,h6,Final Score
9,9,7,8,11,9,6,107019.0
9,9,7,8,11,9,5,111630.0
9,9,7,8,11,9,2,77193.0
9,9,7,8,11,4,2,30955.0
9,9,7,8,11,4,3,49387.0
9,9,7,8,11,4,5,52194.0
9,9,7,8,11,7,1,58066.0
9,9,7,8,11,7,10,93578.0
9,9,7,8,11,7,0,89693.0
9,9,7,8,0,9,2,77812.0
9,9,7,8,0,9,4,53558.0
9,9,7,8,0,9,7,90709.0
9,9,7,8,0,2,3,75150.0
9,9,7,8,0,2,7,68974.0
9,9,7,8,0,2,5,76091.0
9,9,7,8,0,8,7,87667.0
9,9,7,8,0,8,0,107072.0
9,9,7,8,0,8,1,63328.0
9,9,7,8,8,8,0,107059.0
9,9,7,8,8,8,10,107430.0
9,9,7,8,8,8,7,88610.0
9,9,7,8,8,10,3,106168.0
9,9,7,8,8,10,1,63876.0
9,9,7,8,8,10,7,94801.0
9,9,7,8,8,3,6,97618.0
9,9,7,8,8,3,5,102295.0
9,9,7,8,8,3,11,111514.0
9,9,7,4,7,5,9,54514.0
9,9,7,4,7,5,10,54514.0
9,9,7,4,7,5,2,33854.0
9,9,7,4,7,3,11,56176.0
9,9,7,4,7,3,10,51165.0
9,9,7,4,7,3,7,38860.0
9,9,7,4,7,6,8,54516.0
9,9,7,4,7,6,1,36446.0
9,9,7,4,7,6,10,54516.0
9,9,7,4,9,7,3,50544.0
9,9,7,4,9,7,11,61635.0
9,9,7,4,9,7,2,34343.0
9,9,7,4,9,5,11,61586.0
9,9,7,4,9,5,0,54271.0
9,9,7,4,9,5,4,25546.0
9,9,7,4,9,1,2,25745.0
9,9,7,4,9,1,0,34371.0
9,9,7,4,9,1,11,42230.0
9,9,7,4,1,9,11,42884.0
9,9,7,4,1,9,10,36865.0
9,9,7,4,1,9,1,36865.0
9,9,7,4,1,7,1,29569.0
9,9,7,4,1,7,10,29611.0
9,9,7,4,1,7,5,29611.0
9,9,7,4,1,10,6,32331.0
9,9,7,4,1,10,9,36865.0
9,9,7,4,1,10,3,34336.0
9,9,7,7,7,1,6,42907.0
9,9,7,7,7,1,10,44093.0
9,9,7,7,7,1,3,41653.0
9,9,7,7,7,0,4,42128.0
9,9,7,7,7,0,3,70936.0
9,9,7,7,7,0,7,61267.0
9,9,7,7,7,5,2,46049.0
9,9,7,7,7,5,6,71610.0
9,9,7,7,7,5,11,81818.0
9,9,7,7,4,2,7,20626.0
9,9,7,7,4,2,10,21218.0
9,9,7,7,4,2,6,21315.0
9,9,7,7,4,5,2,20985.0
9,9,7,7,4,5,0,30070.0
9,9,7,7,4,5,3,28312.0
9,9,7,7,4,10,10,30578.0
9,9,7,7,4,10,8,30578.0
9,9,7,7,4,10,3,27725.0
9,9,7,7,5,2,0,53036.0
9,9,7,7,5,2,11,62740.0
9,9,7,7,5,2,4,28710.0
9,9,7,7,5,6,11,88125.0
9,9,7,7,5,6,0,81945.0
9,9,7,7,5,6,6,75339.0
9,9,7,7,5,8,2,56675.0
9,9,7,7,5,8,10,85815.0
9,9,7,7,5,8,3,84590.0
9,9,1,2,6,11,1,72426.0
9,9,1,2,6,11,11,82380.0
9,9,1,2,6,11,3,67293.0
9,9,1,2,6,3,4,33571.0
9,9,1,2,6,3,9,65844.0
9,9,1,2,6,3,5,64538.0
9,9,1,2,6,6,9,66174.0
9,9,1,2,6,6,10,66174.0
9,9,1,2,6,6,11,74322.0
9,9,1,2,5,3,5,67598.0
9,9,1,2,5,3,8,69406.0
9,9,1,2,5,3,2,68406.0
9,9,1,2,5,5,6,66048.0
9,9,1,2,5,5,3,65064.0
9,9,1,2,5,5,2,67051.0
9,9,1,2,5,9,5,70506.0
9,9,1,2,5,9,7,61598.0
9,9,1,2,5,9,9,71199.0
9,9,1,2,2,4,3,34085.0
9,9,1,2,2,4,7,32921.0
9,9,1,2,2,4,8,34959.0
9,9,1,2,2,0,11,75151.0
9,9,1,2,2,0,8,69334.0
9,9,1,2,2,0,0,69334.0
9,9,1,2,2,2,10,72104.0
9,9,1,2,2,2,0,69333.0
9,9,1,2,2,2,2,72104.0
9,9,1,7,2,8,5,54208.0
9,9,1,7,2,8,9,54968.0
9,9,1,7,2,8,11,59162.0
9,9,1,7,2,11,3,56004.0
9,9,1,7,2,11,7,52566.0
9,9,1,7,2,11,4,30070.0
9,9,1,7,2,4,11,37855.0
9,9,1,7,2,4,1,29319.0
9,9,1,7,2,4,7,25273.0
9,9,1,7,8,10,3,58084.0
9,9,1,7,8,10,8,60428.0
9,9,1,7,8,10,5,59684.0
9,9,1,7,8,9,2,55168.0
9,9,1,7,8,9,1,60358.0
9,9,1,7,8,9,9,60428.0
9,9,1,7,8,11,10,68237.0
9,9,1,7,8,11,11,78574.0
9,9,1,7,8,11,0,57625.0
9,9,1,7,9,2,7,48300.0
9,9,1,7,9,2,6,54392.0
9,9,1,7,9,2,10,55648.0
9,9,1,7,9,8,11,71572.0
9,9,1,7,9,8,1,60248.0
9,9,1,7,9,8,8,60428.0
9,9,1,7,9,3,8,58361.0
9,9,1,7,9,3,0,57295.0
9,9,1,7,9,3,3,57362.0
9,9,1,1,7,4,10,28281.0
9,9,1,1,7,4,6,28261.0
