h0,h1,h2,h3,h4,Final Score
6,10,6,1,5,65129.0
6,10,6,1,4,32957.0
6,10,6,1,3,63847.0
6,10,6,1,7,57360.0
6,10,6,4,7,44411.0
6,10,6,4,2,27919.0
6,10,6,4,0,50377.0
6,10,6,4,11,57006.0
6,10,6,9,4,59176.0
6,10,6,9,6,115914.0
6,10,6,9,10,122862.0
6,10,6,9,1,64848.0
6,10,6,11,6,124123.0
6,10,6,11,4,47870.0
6,10,6,11,8,127387.0
6,10,6,11,0,122494.0
6,10,9,2,2,95742.0
6,10,9,2,8,95742.0
6,10,9,2,1,67002.0
6,10,9,2,3,92590.0
6,10,9,8,4,55228.0
6,10,9,8,11,138131.0
6,10,9,8,9,128582.0
6,10,9,8,0,128495.0
6,10,9,6,6,118590.0
6,10,9,6,9,123595.0
6,10,9,6,0,123508.0
6,10,9,6,3,120429.0
6,10,9,0,1,67353.0
6,10,9,0,0,128495.0
6,10,9,0,11,134110.0
6,10,9,0,6,120290.0
6,10,2,5,1,64122.0
6,10,2,5,3,95615.0
6,10,2,5,7,80441.0
6,10,2,5,10,97738.0
6,10,2,10,5,96544.0
6,10,2,10,0,94566.0
6,10,2,10,8,99112.0
6,10,2,10,3,96499.0
6,10,2,1,2,62590.0
6,10,2,1,9,64820.0
6,10,2,1,7,55155.0
6,10,2,1,4,30150.0
6,10,2,2,1,64514.0
6,10,2,2,3,96518.0
6,10,2,2,7,79368.0
6,10,2,2,9,99112.0
6,10,8,1,1,67848.0
6,10,8,1,3,64223.0
6,10,8,1,9,67848.0
6,10,8,1,11,75003.0
6,10,8,3,10,125652.0
6,10,8,3,1,67164.0
6,10,8,3,8,125652.0
6,10,8,3,6,118941.0
6,10,8,6,7,99860.0
6,10,8,6,11,129460.0
6,10,8,6,4,55213.0
6,10,8,6,10,121653.0
6,10,8,2,10,97892.0
6,10,8,2,2,97892.0
6,10,8,2,0,90799.0
6,10,8,2,6,92906.0
6,4,0,2,1,19874.0
6,4,0,2,2,31936.0
6,4,0,2,6,31151.0
6,4,0,2,9,31936.0
6,4,0,9,5,51467.0
6,4,0,9,11,63053.0
6,4,0,9,1,31220.0
6,4,0,9,4,19347.0
6,4,0,7,10,41695.0
6,4,0,7,1,25939.0
6,4,0,7,5,39163.0
6,4,0,7,7,31175.0
6,4,0,11,5,59764.0
6,4,0,11,11,71703.0
6,4,0,11,4,27748.0
6,4,0,11,7,52518.0
6,4,9,9,10,54240.0
6,4,9,9,6,52787.0
6,4,9,9,2,30470.0
6,4,9,9,5,50549.0
6,4,9,10,11,63588.0
6,4,9,10,9,54240.0
6,4,9,10,3,52839.0
6,4,9,10,8,54240.0
6,4,9,1,9,30904.0
6,4,9,1,3,29947.0
6,4,9,1,11,35522.0
6,4,9,1,1,30904.0
6,4,9,8,10,54240.0
6,4,9,8,9,54240.0
6,4,9,8,8,54240.0
6,4,9,8,3,51489.0
6,4,7,6,9,42218.0
6,4,7,6,7,37756.0
6,4,7,6,0,41822.0
6,4,7,6,10,42218.0
6,4,7,1,7,23897.0
6,4,7,1,0,28346.0
6,4,7,1,5,29121.0
6,4,7,1,8,29128.0
6,4,7,9,2,29744.0
6,4,7,9,9,49284.0
6,4,7,9,5,48989.0
6,4,7,9,6,49270.0
6,4,7,5,0,47329.0
6,4,7,5,4,20784.0
6,4,7,5,3,46921.0
6,4,7,5,9,47620.0
6,4,3,1,1,30541.0
6,4,3,1,3,29783.0
6,4,3,1,8,30541.0
6,4,3,1,5,30541.0
6,4,3,8,5,52467.0
6,4,3,8,8,52467.0
6,4,3,8,3,52021.0
6,4,3,8,6,52424.0
6,4,3,5,9,52432.0
6,4,3,5,7,41634.0
6,4,3,5,11,58826.0
6,4,3,5,2,30512.0
6,4,3,3,0,49636.0
6,4,3,3,9,49956.0
