h0,h1,h2,h3,h4,Final Score
7,7,9,1,3,44523.0
7,7,9,1,0,44564.0
7,7,9,1,1,45681.0
7,7,9,1,7,38607.0
7,7,9,8,11,92230.0
7,7,9,8,7,67533.0
7,7,9,8,3,83827.0
7,7,9,8,10,86313.0
7,7,9,6,11,86027.0
7,7,9,6,2,53844.0
7,7,9,6,6,79894.0
7,7,9,6,5,82634.0
7,7,9,11,7,84473.0
7,7,9,11,10,96067.0
7,7,9,11,1,53881.0
7,7,9,11,6,93283.0
7,7,6,8,4,26455.0
7,7,6,8,5,80958.0
7,7,6,8,10,80958.0
7,7,6,8,11,85884.0
7,7,6,2,1,29464.0
7,7,6,2,6,50185.0
7,7,6,2,5,51043.0
7,7,6,2,8,51958.0
7,7,6,5,0,80757.0
7,7,6,5,8,80954.0
7,7,6,5,6,75419.0
7,7,6,5,7,66300.0
7,7,6,0,2,50520.0
7,7,6,0,4,36855.0
7,7,6,0,6,75920.0
7,7,6,0,0,80750.0
7,7,7,1,0,34679.0
7,7,7,1,3,34452.0
7,7,7,1,5,34757.0
7,7,7,1,4,20350.0
7,7,7,2,3,35540.0
7,7,7,2,1,23077.0
7,7,7,2,7,32183.0
7,7,7,2,6,36436.0
7,7,7,8,7,52725.0
7,7,7,8,2,37413.0
7,7,7,8,4,25768.0
7,7,7,8,10,61883.0
7,7,7,6,4,32532.0
7,7,7,6,2,35312.0
7,7,7,6,0,57564.0
7,7,7,6,5,55989.0
7,7,10,3,1,45862.0
7,7,10,3,6,79384.0
7,7,10,3,5,83380.0
7,7,10,3,9,83380.0
7,7,10,11,10,91209.0
7,7,10,11,5,90997.0
7,7,10,11,3,83770.0
7,7,10,11,7,74635.0
7,7,10,1,9,45839.0
7,7,10,1,7,38474.0
7,7,10,1,11,54367.0
7,7,10,1,4,23578.0
7,7,10,0,5,84638.0
7,7,10,0,2,55784.0
7,7,10,0,11,93413.0
7,7,10,0,10,86114.0
7,9,11,3,3,99126.0
7,9,11,3,1,55338.0
7,9,11,3,10,102224.0
7,9,11,3,5,99517.0
7,9,11,6,8,116090.0
7,9,11,6,7,100368.0
7,9,11,6,5,113610.0
7,9,11,6,0,104882.0
7,9,11,8,2,71023.0
7,9,11,8,11,125216.0
7,9,11,8,8,118003.0
7,9,11,8,5,116778.0
7,9,11,9,6,114910.0
7,9,11,9,8,118003.0
7,9,11,9,2,72333.0
7,9,11,9,11,124618.0
7,9,9,7,4,33462.0
7,9,9,7,11,100407.0
7,9,9,7,2,58930.0
7,9,9,7,1,48140.0
7,9,9,2,7,63814.0
7,9,9,2,2,72830.0
7,9,9,2,9,72830.0
7,9,9,2,5,71506.0
7,9,9,10,11,111675.0
7,9,9,10,8,105260.0
7,9,9,10,5,105255.0
7,9,9,10,7,92830.0
7,9,9,5,9,103411.0
7,9,9,5,11,108928.0
7,9,9,5,4,36801.0
7,9,9,5,10,103411.0
7,9,6,0,7,84167.0
7,9,6,0,6,94161.0
7,9,6,0,1,51093.0
7,9,6,0,2,65497.0
7,9,6,9,4,30722.0
7,9,6,9,0,98002.0
7,9,6,9,8,98141.0
7,9,6,9,3,94981.0
7,9,6,2,7,49394.0
7,9,6,2,9,60541.0
7,9,6,2,5,59996.0
7,9,6,2,6,58702.0
7,9,6,7,10,77378.0
7,9,6,7,9,77378.0
7,9,6,7,4,24240.0
7,9,6,7,5,77374.0
7,9,2,4,7,27173.0
7,9,2,4,5,34049.0
7,9,2,4,9,34052.0
7,9,2,4,2,25922.0
7,9,2,2,11,79494.0
7,9,2,2,0,69482.0
7,9,2,2,8,74670.0
7,9,2,2,3,72146.0
7,9,2,10,8,74670.0
7,9,2,10,11,82391.0
7,9,2,10,0,69485.0
7,9,2,10,4,26472.0
7,9,2,7,2,55135.0
7,9,2,7,11,69127.0
7,9,2,7,5,59790.0
7,9,2,7,7,50333.0
7,8,3,4,0,39120.0
7,8,3,4,9,39398.0
7,8,3,4,10,39398.0
7,8,3,4,1,27316.0
7,8,3,5,3,94405.0
7,8,3,5,0,98473.0
7,8,3,5,1,53935.0
7,8,3,5,4,38825.0
7,8,3,1,6,51391.0
7,8,3,1,7,45349.0
7,8,3,1,2,47348.0
7,8,3,1,5,51731.0
7,8,3,0,7,88134.0
7,8,3,0,3,96837.0
7,8,3,0,8,100971.0
7,8,3,0,6,98440.0
7,8,10,11,10,109363.0
7,8,10,11,2,71413.0
7,8,10,11,1,58625.0
7,8,10,11,8,109363.0
7,8,10,4,3,41131.0
7,8,10,4,6,40344.0
7,8,10,4,0,41704.0
7,8,10,4,8,41872.0
7,8,10,2,2,70650.0
7,8,10,2,5,69363.0
7,8,10,2,7,57653.0
7,8,10,2,4,31443.0
7,8,10,9,8,105260.0
7,8,10,9,3,102273.0
7,8,10,9,4,42458.0
7,8,10,9,7,90948.0
7,8,1,11,10,62539.0
7,8,1,11,6,61353.0
7,8,1,11,1,59511.0
7,8,1,11,4,29919.0
7,8,1,3,5,52133.0
7,8,1,3,2,46844.0
7,8,1,3,9,52974.0
7,8,1,3,3,51095.0
7,8,1,0,2,46403.0
7,8,1,0,0,52643.0
7,8,1,0,6,50582.0
7,8,1,0,11,61567.0
7,8,1,7,0,45085.0
7,8,1,7,7,40302.0
7,8,1,7,9,47088.0
7,8,1,7,11,53992.0
7,8,6,1,9,52706.0
7,8,6,1,4,20072.0
7,8,6,1,1,52706.0
7,8,6,1,6,49254.0
7,8,6,6,1,51753.0
7,8,6,6,9,96257.0
7,8,6,6,11,103046.0
7,8,6,6,6,90504.0
7,8,6,10,6,95100.0
7,8,6,10,3,96872.0
7,8,6,10,0,101289.0
7,8,6,10,9,101432.0
7,8,6,9,5,99422.0
7,8,6,9,6,100302.0
7,8,6,9,3,96395.0
7,8,6,9,10,101432.0
7,2,9,0,0,68324.0
7,2,9,0,10,68324.0
7,2,9,0,4,25427.0
7,2,9,0,6,65517.0
7,2,9,4,11,33940.0
7,2,9,4,8,29242.0
7,2,9,4,2,23232.0
7,2,9,4,4,19316.0
7,2,9,7,7,50710.0
7,2,9,7,8,61598.0
7,2,9,7,9,61598.0
7,2,9,7,11,70211.0
7,2,9,11,2,68575.0
7,2,9,11,8,80885.0
7,2,9,11,9,80885.0
7,2,9,11,11,87310.0
7,2,3,5,0,63728.0
7,2,3,5,11,75641.0
7,2,3,5,8,68048.0
7,2,3,5,2,65258.0
7,2,3,4,9,29635.0
7,2,3,4,8,29635.0
7,2,3,4,6,28487.0
7,2,3,4,1,21429.0
7,2,3,11,3,67180.0
7,2,3,11,1,48893.0
7,2,3,11,8,78003.0
7,2,3,11,4,30732.0
7,2,3,10,3,67011.0
7,2,3,10,2,68321.0
7,2,3,10,7,62588.0
7,2,3,10,8,69491.0
7,2,1,4,1,20966.0
7,2,1,4,9,21508.0
7,2,1,4,2,18948.0
7,2,1,4,10,21508.0
7,2,1,5,6,42610.0
7,2,1,5,1,44315.0
7,2,1,5,10,44319.0
7,2,1,5,4,21300.0
7,2,1,2,1,45334.0
7,2,1,2,7,39259.0
7,2,1,2,5,45242.0
7,2,1,2,6,44205.0
7,2,1,3,11,52036.0
7,2,1,3,6,40126.0
7,2,1,3,8,42431.0
7,2,1,3,0,40242.0
7,2,8,7,0,57922.0
7,2,8,7,2,57296.0
7,2,8,7,9,63316.0
