h0,h1,h2,h3,h4,Final Score
9,3,1,7,11,70712.0
9,3,1,7,5,63625.0
9,3,1,7,6,60065.0
9,3,1,7,8,64323.0
9,3,1,10,4,28471.0
9,3,1,10,11,82943.0
9,3,1,10,5,72669.0
9,3,1,10,0,72113.0
9,3,1,0,9,72007.0
9,3,1,0,8,72007.0
9,3,1,0,7,61251.0
9,3,1,0,3,70826.0
9,3,1,6,6,68872.0
9,3,1,6,11,77328.0
9,3,1,6,7,60192.0
9,3,1,6,1,70421.0
9,3,3,10,5,123391.0
9,3,3,10,0,126005.0
9,3,3,10,11,136456.0
9,3,3,10,10,126144.0
9,3,3,2,3,97270.0
9,3,3,2,0,94513.0
9,3,3,2,4,42532.0
9,3,3,2,7,83867.0
9,3,3,11,2,100668.0
9,3,3,11,5,130080.0
9,3,3,11,0,125703.0
9,3,3,11,10,132748.0
9,3,3,9,10,126144.0
9,3,3,9,7,101387.0
9,3,3,9,4,53538.0
9,3,3,9,0,126006.0
9,3,2,6,6,96957.0
9,3,2,6,11,107818.0
9,3,2,6,2,97974.0
9,3,2,6,3,98651.0
9,3,2,9,0,100246.0
9,3,2,9,1,74406.0
9,3,2,9,10,103742.0
9,3,2,9,5,101631.0
9,3,2,1,8,75178.0
9,3,2,1,5,74918.0
9,3,2,1,11,81694.0
9,3,2,1,1,75178.0
9,3,2,2,5,102631.0
9,3,2,2,11,112478.0
9,3,2,2,10,103742.0
9,3,2,2,8,103742.0
9,3,9,2,1,73894.0
9,3,9,2,2,104182.0
9,3,9,2,6,96604.0
9,3,9,2,4,37576.0
9,3,9,7,5,105960.0
9,3,9,7,4,42450.0
9,3,9,7,9,106978.0
9,3,9,7,10,106978.0
9,3,9,0,0,130982.0
9,3,9,0,1,73738.0
9,3,9,0,5,129165.0
9,3,9,0,7,109139.0
9,3,9,1,8,74482.0
9,3,9,1,11,80794.0
9,3,9,1,3,70936.0
9,3,9,1,5,73182.0
9,10,6,5,7,98053.0
9,10,6,5,4,37841.0
9,10,6,5,8,126721.0
9,10,6,5,10,126721.0
9,10,6,11,1,73555.0
9,10,6,11,2,98557.0
9,10,6,11,8,133997.0
9,10,6,11,5,131809.0
9,10,6,8,9,128582.0
9,10,6,8,11,132499.0
9,10,6,8,3,123350.0
9,10,6,8,8,128582.0
9,10,6,0,10,128527.0
9,10,6,0,8,128527.0
9,10,6,0,5,123797.0
9,10,6,0,9,128527.0
9,10,10,7,6,108967.0
9,10,10,7,4,41125.0
9,10,10,7,2,82105.0
9,10,10,7,9,112645.0
9,10,10,8,4,42817.0
9,10,10,8,11,140443.0
9,10,10,8,10,136440.0
