i0,learning,376.0,125
i0,random,376.0,15
i0,online,376.0,46
i0,exhaustive,355.0,187
i1,learning,355.0,93
i1,random,355.0,0
i1,online,355.0,31
i1,exhaustive,355.0,218
i2,learning,355.0,93
i2,random,355.0,0
i2,online,355.0,46
i2,exhaustive,355.0,218
i3,learning,295.0,62
i3,random,286.0,0
i3,online,257.0,15
i3,exhaustive,253.0,109
i4,learning,253.0,46
i4,random,253.0,0
i4,online,253.0,31
i4,exhaustive,253.0,109
i5,learning,253.0,78
i5,random,253.0,15
i5,online,253.0,15
i5,exhaustive,253.0,218
i6,learning,105.0,15
i6,random,105.0,0
i6,online,99.0,0
i6,exhaustive,84.0,15
i7,learning,84.0,15
i7,random,84.0,0
i7,online,84.0,0
i7,exhaustive,84.0,15
i8,learning,84.0,15
i8,random,84.0,0
i8,online,84.0,0
i8,exhaustive,84.0,31
i9,learning,84.0,31
i9,random,84.0,0
i9,online,84.0,15
i9,exhaustive,84.0,46
i10,learning,84.0,62
i10,random,84.0,0
i10,online,84.0,15
i10,exhaustive,84.0,156
i11,learning,84.0,15
i11,random,84.0,0
i11,online,84.0,0
i11,exhaustive,84.0,15
