h0,h1,h2,h3,h4,Final Score
4,9,8,10,0,63134.0
4,9,8,10,3,62120.0
4,9,8,10,6,60687.0
4,9,8,10,8,63431.0
4,9,8,2,2,37111.0
4,9,8,2,7,29739.0
4,9,8,2,1,20509.0
4,9,8,2,6,34690.0
4,9,8,9,9,63431.0
4,9,8,9,10,63431.0
4,9,8,9,8,63431.0
4,9,8,9,11,69849.0
4,9,8,6,1,30759.0
4,9,8,6,0,60706.0
4,9,8,6,4,27666.0
4,9,8,6,9,60983.0
4,9,3,8,8,60913.0
4,9,3,8,11,65449.0
4,9,3,8,4,35765.0
4,9,3,8,6,60851.0
4,9,3,9,10,60913.0
4,9,3,9,8,60913.0
4,9,3,9,1,30019.0
4,9,3,9,6,58972.0
4,9,3,6,5,58178.0
4,9,3,6,11,67111.0
4,9,3,6,9,60913.0
4,9,3,6,7,50379.0
4,9,3,4,10,28534.0
4,9,3,4,3,28104.0
4,9,3,4,0,28394.0
4,9,3,4,11,34763.0
4,9,6,0,3,55227.0
4,9,6,0,8,60642.0
4,9,6,0,2,32492.0
4,9,6,0,7,50636.0
4,9,6,8,8,60929.0
4,9,6,8,11,69439.0
4,9,6,8,1,31201.0
4,9,6,8,0,60642.0
4,9,6,5,9,60929.0
4,9,6,5,7,43355.0
4,9,6,5,11,66952.0
4,9,6,5,10,60929.0
4,9,6,1,6,30340.0
4,9,6,1,3,30486.0
4,9,6,1,4,21685.0
4,9,6,1,10,31195.0
4,9,10,10,3,61814.0
4,9,10,10,2,31271.0
4,9,10,10,5,63431.0
4,9,10,10,10,63431.0
4,9,10,6,1,30594.0
4,9,10,6,4,37944.0
4,9,10,6,5,61371.0
4,9,10,6,9,61382.0
4,9,10,7,1,27438.0
4,9,10,7,0,53997.0
4,9,10,7,10,54260.0
4,9,10,7,5,54260.0
4,9,10,11,4,35789.0
4,9,10,11,7,55011.0
4,9,10,11,5,74078.0
4,9,10,11,2,34938.0
4,1,6,1,7,25350.0
4,1,6,1,5,29825.0
4,1,6,1,4,19004.0
4,1,6,1,0,29920.0
4,1,6,3,7,25918.0
4,1,6,3,2,23421.0
4,1,6,3,10,30361.0
4,1,6,3,0,30122.0
4,1,6,7,9,29486.0
4,1,6,7,8,29486.0
4,1,6,7,7,30226.0
4,1,6,7,4,17597.0
4,1,6,0,1,30208.0
4,1,6,0,2,23066.0
4,1,6,0,9,30226.0
4,1,6,0,6,27643.0
4,1,9,8,10,31725.0
4,1,9,8,9,31725.0
4,1,9,8,2,23195.0
4,1,9,8,4,19281.0
4,1,9,7,9,27996.0
4,1,9,7,2,20756.0
4,1,9,7,0,27317.0
4,1,9,7,3,27267.0
4,1,9,5,11,39461.0
4,1,9,5,10,30515.0
4,1,9,5,7,25180.0
4,1,9,5,4,21110.0
4,1,9,9,6,30724.0
4,1,9,9,9,31725.0
4,1,9,9,7,28111.0
4,1,9,9,5,30709.0
4,1,5,11,9,41195.0
4,1,5,11,8,41195.0
4,1,5,11,4,21667.0
4,1,5,11,0,30321.0
4,1,5,1,0,29458.0
4,1,5,1,4,16552.0
4,1,5,1,3,29207.0
4,1,5,1,7,28509.0
4,1,5,0,5,28263.0
4,1,5,0,8,29454.0
4,1,5,0,2,22044.0
4,1,5,0,0,29454.0
4,1,5,7,8,24905.0
4,1,5,7,3,23354.0
4,1,5,7,5,24905.0
4,1,5,7,0,23427.0
4,1,4,11,8,29999.0
4,1,4,11,1,25877.0
4,1,4,11,6,28127.0
4,1,4,11,4,18145.0
4,1,4,10,2,15191.0
4,1,4,10,5,17668.0
4,1,4,10,6,17448.0
4,1,4,10,1,17403.0
4,1,4,4,2,11864.0
4,1,4,4,4,12257.0
4,1,4,4,6,14317.0
4,1,4,4,8,14294.0
4,1,4,6,5,17543.0
4,1,4,6,11,26155.0
4,1,4,6,8,17543.0
