h0,h1,h2,h3,h4,Final Score
1,11,4,10,6,30423.0
1,11,4,10,5,30511.0
1,11,4,10,3,28595.0
1,11,4,10,9,30511.0
1,11,4,3,10,27490.0
1,11,4,3,5,27482.0
1,11,4,3,6,25045.0
1,11,4,3,1,27032.0
1,11,4,7,3,25979.0
1,11,4,7,0,27958.0
1,11,4,7,7,23380.0
1,11,4,7,5,29243.0
1,11,4,11,0,29849.0
1,11,4,11,6,36804.0
1,11,4,11,2,24208.0
1,11,4,11,5,36828.0
1,11,7,8,2,57069.0
1,11,7,8,4,29904.0
1,11,7,8,6,59915.0
1,11,7,8,1,62951.0
1,11,7,6,0,59364.0
1,11,7,6,6,59182.0
1,11,7,6,3,58465.0
1,11,7,6,10,61940.0
1,11,7,9,2,57049.0
1,11,7,9,10,64159.0
1,11,7,9,7,57405.0
1,11,7,9,9,64159.0
1,11,7,10,1,62411.0
1,11,7,10,0,61194.0
1,11,7,10,9,64159.0
1,11,7,10,10,64159.0
1,11,5,9,8,78742.0
1,11,5,9,3,72019.0
1,11,5,9,9,78742.0
1,11,5,9,11,86456.0
1,11,5,4,11,34772.0
1,11,5,4,8,27656.0
1,11,5,4,0,26270.0
1,11,5,4,2,21956.0
1,11,5,1,9,76658.0
1,11,5,1,3,68976.0
1,11,5,1,6,74049.0
1,11,5,1,10,76658.0
1,11,5,6,10,74506.0
1,11,5,6,4,32278.0
1,11,5,6,6,71596.0
1,11,5,6,3,66953.0
1,11,1,4,7,28590.0
1,11,1,4,11,42710.0
1,11,1,4,1,31520.0
1,11,1,4,5,32700.0
1,11,1,9,0,70904.0
1,11,1,9,4,32018.0
1,11,1,9,10,77974.0
1,11,1,9,8,77974.0
1,11,1,6,10,74007.0
1,11,1,6,5,72172.0
1,11,1,6,1,73639.0
1,11,1,6,11,82515.0
1,11,1,8,0,70898.0
1,11,1,8,1,77974.0
1,11,1,8,7,62030.0
1,11,1,8,5,76305.0
1,8,11,11,6,81693.0
1,8,11,11,4,35112.0
1,8,11,11,8,87823.0
1,8,11,11,3,75232.0
1,8,11,10,2,74517.0
1,8,11,10,9,79787.0
1,8,11,10,8,79787.0
1,8,11,10,1,76671.0
1,8,11,8,2,74387.0
1,8,11,8,5,79095.0
1,8,11,8,0,73698.0
1,8,11,8,4,30758.0
1,8,11,3,4,31149.0
1,8,11,3,1,70209.0
1,8,11,3,5,71802.0
1,8,11,3,3,71142.0
1,8,1,9,0,72376.0
1,8,1,9,3,71442.0
1,8,1,9,11,82154.0
1,8,1,9,10,74244.0
1,8,1,2,2,72674.0
1,8,1,2,8,72674.0
1,8,1,2,9,72674.0
1,8,1,2,5,72133.0
1,8,1,11,3,72393.0
1,8,1,11,11,92286.0
1,8,1,11,2,75071.0
1,8,1,11,9,82771.0
1,8,1,10,6,70795.0
1,8,1,10,8,74244.0
1,8,1,10,9,74244.0
1,8,1,10,3,72165.0
1,8,2,4,6,28227.0
1,8,2,4,1,28975.0
1,8,2,4,4,19575.0
1,8,2,4,8,29245.0
1,8,2,9,4,25371.0
1,8,2,9,7,62772.0
1,8,2,9,9,72584.0
1,8,2,9,0,70399.0
1,8,2,3,4,28455.0
1,8,2,3,3,67138.0
1,8,2,3,2,67968.0
1,8,2,3,8,69068.0
1,8,2,10,5,72099.0
1,8,2,10,10,72584.0
1,8,2,10,1,71496.0
1,8,2,10,11,81287.0
1,8,5,0,3,69673.0
1,8,5,0,9,71289.0
1,8,5,0,4,29687.0
1,8,5,0,11,80705.0
1,8,5,10,1,73156.0
1,8,5,10,7,64439.0
1,8,5,10,10,73180.0
1,8,5,10,4,28315.0
1,8,5,2,2,71290.0
1,8,5,2,7,59499.0
1,8,5,2,1,69902.0
1,8,5,2,11,80734.0
1,8,5,11,1,77827.0
1,8,5,11,7,68080.0
1,8,5,11,5,78847.0
1,8,5,11,8,79697.0
1,7,1,0,7,47289.0
1,7,1,0,9,60044.0
1,7,1,0,5,58690.0
1,7,1,0,10,60044.0
1,7,1,11,10,67838.0
1,7,1,11,3,60685.0
1,7,1,11,5,66734.0
1,7,1,11,0,61282.0
1,7,1,10,10,61585.0
1,7,1,10,9,61585.0
1,7,1,10,0,60041.0
1,7,1,10,8,61585.0
1,7,1,7,9,52282.0
1,7,1,7,4,25604.0
1,7,1,7,1,52190.0
1,7,1,7,0,50595.0
1,7,6,3,9,56576.0
1,7,6,3,1,56478.0
1,7,6,3,4,26112.0
1,7,6,3,2,49866.0
1,7,6,10,10,58007.0
1,7,6,10,7,50217.0
1,7,6,10,8,58007.0
1,7,6,10,9,58007.0
1,7,6,0,1,57347.0
1,7,6,0,11,64720.0
1,7,6,0,0,57367.0
1,7,6,0,5,55217.0
1,7,6,4,9,25426.0
1,7,6,4,6,24502.0
1,7,6,4,3,24688.0
1,7,6,4,2,20146.0
1,7,11,11,11,86585.0
1,7,11,11,3,62348.0
1,7,11,11,5,79064.0
1,7,11,11,4,37740.0
1,7,11,3,2,52606.0
1,7,11,3,0,58365.0
1,7,11,3,3,56495.0
1,7,11,3,9,61206.0
1,7,11,7,4,21607.0
1,7,11,7,10,58349.0
1,7,11,7,1,54813.0
1,7,11,7,3,50707.0
1,7,11,10,5,70013.0
1,7,11,10,8,70752.0
1,7,11,10,10,70752.0
1,7,11,10,3,61271.0
1,7,2,3,6,49013.0
1,7,2,3,7,44805.0
1,7,2,3,9,51665.0
1,7,2,3,3,49095.0
1,7,2,2,5,53751.0
1,7,2,2,8,54591.0
1,7,2,2,6,53272.0
1,7,2,2,4,21080.0
1,7,2,4,2,20784.0
1,7,2,4,9,25574.0
1,7,2,4,3,23826.0
1,7,2,4,1,24668.0
1,7,2,6,10,51091.0
1,7,2,6,9,51091.0
1,7,2,6,3,48563.0
1,7,2,6,6,48649.0
1,6,10,5,11,79421.0
1,6,10,5,0,67798.0
1,6,10,5,3,66125.0
1,6,10,5,6,67021.0
1,6,10,3,10,69795.0
1,6,10,3,8,69795.0
1,6,10,3,11,76699.0
1,6,10,3,5,68171.0
1,6,10,8,1,71112.0
1,6,10,8,9,71148.0
1,6,10,8,10,71148.0
1,6,10,8,0,69260.0
1,6,10,9,10,71148.0
1,6,10,9,6,68252.0
1,6,10,9,1,71016.0
1,6,10,9,9,71148.0
1,6,0,8,0,69259.0
1,6,0,8,2,65339.0
1,6,0,8,6,67509.0
1,6,0,8,4,31253.0
1,6,0,10,8,69259.0
1,6,0,10,9,69259.0
1,6,0,10,5,67794.0
1,6,0,10,3,67342.0
1,6,0,1,4,30903.0
1,6,0,1,8,69227.0
1,6,0,1,0,69211.0
1,6,0,1,5,69227.0
1,6,0,11,1,75612.0
1,6,0,11,2,68390.0
1,6,0,11,6,74858.0
1,6,0,11,9,77880.0
1,6,9,6,3,65452.0
1,6,9,6,7,61957.0
1,6,9,6,5,66755.0
1,6,9,6,11,76414.0
1,6,9,8,9,71148.0
1,6,9,8,1,71118.0
1,6,9,8,6,68586.0
1,6,9,8,4,28311.0
1,6,9,10,2,67048.0
1,6,9,10,9,71148.0
1,6,9,10,0,69262.0
1,6,9,10,11,78172.0
1,6,9,3,11,77514.0
1,6,9,3,8,69284.0
1,6,9,3,6,67687.0
1,6,9,3,2,65084.0
1,6,11,5,1,72631.0
1,6,11,5,3,68880.0
1,6,11,5,4,33799.0
1,6,11,5,6,70078.0
1,6,11,2,8,69499.0
1,6,11,2,10,69499.0
1,6,11,2,1,66377.0
1,6,11,2,0,62553.0
1,6,11,4,9,26765.0
1,6,11,4,1,25023.0
1,6,11,4,6,26743.0
1,6,11,4,10,26765.0
1,6,11,1,5,73993.0
1,6,11,1,6,70153.0
1,6,11,1,2,68481.0
1,6,11,1,0,66714.0
5,4,11,3,7,35076.0
5,4,11,3,11,49298.0
5,4,11,3,10,41595.0
5,4,11,3,4,25633.0
5,4,11,6,0,39473.0
5,4,11,6,4,18346.0
5,4,11,6,5,48015.0
5,4,11,6,2,26671.0
5,4,11,5,9,53438.0
5,4,11,5,1,36326.0
5,4,11,5,4,29333.0
5,4,11,5,0,44518.0
5,4,11,0,6,43734.0
5,4,11,0,3,40861.0
5,4,11,0,9,44522.0
5,4,11,0,8,44522.0
5,4,8,9,8,42609.0
5,4,8,9,2,26479.0
5,4,8,9,9,42609.0
5,4,8,9,11,49728.0
5,4,8,8,2,27109.0
5,4,8,8,3,40659.0
5,4,8,8,10,42609.0
5,4,8,8,11,49253.0
5,4,8,4,4,17700.0
5,4,8,4,5,21215.0
5,4,8,4,1,17351.0
5,4,8,4,7,21401.0
5,4,8,10,0,42178.0
5,4,8,10,10,42609.0
5,4,8,10,7,41081.0
5,4,8,10,6,42571.0
5,4,0,11,7,42730.0
5,4,0,11,11,54553.0
5,4,0,11,2,27651.0
5,4,0,11,5,48821.0
5,4,0,6,6,34451.0
5,4,0,6,1,24695.0
5,4,0,6,4,15964.0
5,4,0,6,0,36297.0
5,4,0,2,3,25505.0
5,4,0,2,1,16123.0
5,4,0,2,5,27150.0
5,4,0,2,10,28057.0
5,4,0,10,9,42177.0
5,4,0,10,2,25737.0
5,4,0,10,10,42177.0
5,4,0,10,6,38517.0
5,4,1,3,3,24174.0
5,4,1,3,2,19276.0
5,4,1,3,5,24874.0
5,4,1,3,8,24886.0
5,4,1,5,2,20105.0
5,4,1,5,4,14842.0
5,4,1,5,8,26325.0
5,4,1,5,5,26325.0
5,4,1,8,10,26325.0
5,4,1,8,11,38463.0
5,4,1,8,3,25678.0
5,4,1,8,8,26325.0
5,4,1,9,5,24881.0
5,4,1,9,0,25732.0
5,4,1,9,1,26325.0
5,4,1,9,6,26231.0
5,9,0,2,9,104306.0
5,9,0,2,4,43278.0
5,9,0,2,3,100081.0
5,9,0,2,8,104306.0
5,9,0,3,2,102852.0
5,9,0,3,1,71064.0
5,9,0,3,11,136115.0
5,9,0,3,7,103561.0
5,9,0,11,2,98812.0
5,9,0,11,1,76158.0
5,9,0,11,6,133994.0
5,9,0,11,5,135143.0
5,9,0,5,7,108310.0
5,9,0,5,8,132203.0
5,9,0,5,11,140104.0
5,9,0,5,6,125961.0
5,9,10,11,5,139351.0
5,9,10,11,1,77635.0
5,9,10,11,6,134925.0
5,9,10,11,7,124092.0
5,9,10,0,10,133627.0
5,9,10,0,3,127895.0
5,9,10,0,2,102677.0
5,9,10,0,7,107101.0
5,9,10,4,8,54382.0
5,9,10,4,11,61830.0
5,9,10,4,4,27415.0
5,9,10,4,3,53589.0
5,9,10,10,0,133626.0
5,9,10,10,11,138639.0
5,9,10,10,2,104517.0
5,9,10,10,10,133637.0
5,9,2,0,10,97965.0
5,9,2,0,8,97965.0
5,9,2,0,5,95306.0
5,9,2,0,1,66789.0
5,9,2,8,6,100311.0
5,9,2,8,5,103141.0
5,9,2,8,8,103677.0
5,9,2,8,9,103677.0
5,9,2,7,3,80789.0
5,9,2,7,7,72785.0
5,9,2,7,4,34429.0
5,9,2,7,1,57601.0
5,9,2,2,2,103677.0
5,9,2,2,6,99488.0
5,9,2,2,10,103677.0
5,9,2,2,5,103071.0
5,9,7,4,9,35266.0
5,9,7,4,4,16310.0
5,9,7,4,6,31758.0
5,9,7,4,2,21226.0
5,9,7,0,3,105218.0
5,9,7,0,1,59466.0
5,9,7,0,5,107878.0
5,9,7,0,7,93491.0
5,9,7,8,5,105472.0
5,9,7,8,1,58904.0
5,9,7,8,2,75878.0
5,9,7,8,0,107678.0
5,9,7,11,11,120845.0
5,9,7,11,7,91933.0
5,9,7,11,4,37939.0
5,9,7,11,3,104524.0
5,10,6,10,0,126744.0
5,10,6,10,1,69304.0
5,10,6,10,9,126860.0
5,10,6,10,4,40624.0
5,10,6,8,8,126860.0
5,10,6,8,9,126860.0
5,10,6,8,7,101529.0
