h0,h1,h2,h3,h4,Final Score
11,1,4,0,1,30403.0
11,1,4,0,9,30751.0
11,1,4,0,5,30751.0
11,1,4,0,4,12856.0
11,1,4,2,9,24717.0
11,1,4,2,2,24717.0
11,1,4,2,3,22211.0
11,1,4,2,1,21763.0
11,1,4,4,3,17740.0
11,1,4,4,6,19352.0
11,1,4,4,4,14980.0
11,1,4,4,11,28275.0
11,1,4,8,9,33397.0
11,1,4,8,2,24097.0
11,1,4,8,8,33397.0
11,1,4,8,3,30406.0
11,1,8,9,11,81834.0
11,1,8,9,6,72434.0
11,1,8,9,2,72648.0
11,1,8,9,8,75408.0
11,1,8,4,9,32947.0
11,1,8,4,1,32649.0
11,1,8,4,5,32947.0
11,1,8,4,3,27800.0
11,1,8,0,5,67806.0
11,1,8,0,0,67806.0
11,1,8,0,4,30918.0
11,1,8,0,3,65672.0
11,1,8,6,1,73053.0
11,1,8,6,7,60422.0
11,1,8,6,9,73209.0
11,1,8,6,10,73209.0
11,1,0,8,11,74223.0
11,1,0,8,7,56280.0
11,1,0,8,2,66146.0
11,1,0,8,0,67816.0
11,1,0,0,9,67816.0
11,1,0,0,1,66968.0
11,1,0,0,11,77134.0
11,1,0,0,6,65153.0
11,1,0,11,6,71536.0
11,1,0,11,2,70325.0
11,1,0,11,9,74915.0
11,1,0,11,11,81222.0
11,1,0,2,8,66146.0
11,1,0,2,10,66146.0
11,1,0,2,0,66022.0
11,1,0,2,11,76262.0
11,1,10,0,5,66330.0
11,1,10,0,9,67818.0
11,1,10,0,4,29062.0
11,1,10,0,11,77490.0
11,1,10,1,11,81438.0
11,1,10,1,9,75408.0
11,1,10,1,8,75408.0
11,1,10,1,6,71387.0
11,1,10,10,1,75408.0
11,1,10,10,6,71969.0
11,1,10,10,9,75408.0
11,1,10,10,4,37445.0
11,1,10,11,11,89351.0
11,1,10,11,2,74906.0
11,1,10,11,3,71472.0
11,1,10,11,0,68220.0
11,8,6,10,7,115198.0
11,8,6,10,6,130119.0
11,8,6,10,8,136017.0
11,8,6,10,9,136017.0
11,8,6,3,8,130355.0
11,8,6,3,6,123857.0
11,8,6,3,1,70599.0
11,8,6,3,5,128521.0
11,8,6,8,6,127802.0
11,8,6,8,3,127974.0
11,8,6,8,10,136017.0
11,8,6,8,4,47116.0
11,8,6,1,6,70107.0
11,8,6,1,3,68671.0
11,8,6,1,9,75957.0
11,8,6,1,10,75957.0
11,8,3,1,10,71491.0
11,8,3,1,3,67275.0
11,8,3,1,1,71491.0
11,8,3,1,9,71491.0
11,8,3,2,9,105453.0
11,8,3,2,2,105453.0
11,8,3,2,6,101100.0
11,8,3,2,10,105453.0
11,8,3,11,11,148834.0
11,8,3,11,6,131525.0
11,8,3,11,3,126696.0
11,8,3,11,2,105861.0
11,8,3,7,2,79757.0
11,8,3,7,1,61225.0
11,8,3,7,11,117411.0
11,8,3,7,4,39673.0
11,8,5,10,2,103370.0
11,8,5,10,0,134288.0
11,8,5,10,5,137786.0
11,8,5,10,3,132779.0
11,8,5,3,10,130506.0
11,8,5,3,1,69420.0
11,8,5,3,0,130373.0
11,8,5,3,5,129383.0
11,8,5,6,9,133086.0
11,8,5,6,8,133086.0
11,8,5,6,2,97716.0
11,8,5,6,3,125152.0
11,8,5,8,7,112426.0
11,8,5,8,11,144346.0
11,8,5,8,8,139230.0
11,8,5,8,6,133794.0
11,8,7,8,9,121970.0
11,8,7,8,4,45406.0
11,8,7,8,3,113501.0
11,8,7,8,7,98271.0
11,8,7,4,5,34562.0
11,8,7,4,9,34566.0
11,8,7,4,3,33889.0
11,8,7,4,8,34566.0
11,8,7,9,11,130178.0
11,8,7,9,5,120237.0
11,8,7,9,4,38717.0
11,8,7,9,9,121970.0
11,8,7,1,9,66144.0
11,8,7,1,7,57939.0
11,8,7,1,1,66144.0
11,8,7,1,11,76344.0
11,7,8,9,6,109209.0
11,7,8,9,1,64110.0
11,7,8,9,9,118168.0
11,7,8,9,5,115458.0
11,7,8,3,10,111509.0
11,7,8,3,6,105037.0
11,7,8,3,5,108934.0
11,7,8,3,11,118214.0
11,7,8,0,8,114198.0
11,7,8,0,10,114198.0
11,7,8,0,6,106746.0
11,7,8,0,0,114198.0
11,7,8,8,3,113701.0
11,7,8,8,5,116165.0
11,7,8,8,11,128585.0
11,7,8,8,4,46074.0
11,7,2,4,7,26350.0
11,7,2,4,10,27995.0
11,7,2,4,6,27991.0
11,7,2,4,0,25403.0
11,7,2,7,6,65504.0
11,7,2,7,11,73187.0
11,7,2,7,4,25025.0
11,7,2,7,7,54329.0
11,7,2,8,4,33267.0
11,7,2,8,0,71698.0
11,7,2,8,10,80498.0
11,7,2,8,11,88841.0
11,7,2,9,4,34913.0
11,7,2,9,5,79456.0
11,7,2,9,1,56398.0
11,7,2,9,11,87128.0
11,7,3,5,10,107434.0
11,7,3,5,7,88235.0
11,7,3,5,0,105847.0
11,7,3,5,11,113226.0
11,7,3,1,0,55920.0
11,7,3,1,11,65562.0
11,7,3,1,9,60157.0
11,7,3,1,3,54747.0
11,7,3,2,6,74097.0
11,7,3,2,11,87738.0
11,7,3,2,8,77623.0
11,7,3,2,5,76483.0
11,7,3,9,8,109313.0
11,7,3,9,11,114498.0
11,7,3,9,7,90010.0
11,7,3,9,1,60089.0
11,7,1,9,8,64068.0
11,7,1,9,4,24001.0
11,7,1,9,10,64068.0
11,7,1,9,6,61098.0
11,7,1,7,7,43237.0
11,7,1,7,0,46787.0
11,7,1,7,6,51441.0
11,7,1,7,1,51295.0
