h0,h1,h2,h3,h4,Final Score
4,6,2,7,2,26311.0
4,6,2,7,3,25018.0
4,6,2,7,4,18023.0
4,6,2,7,7,25227.0
4,6,2,5,3,29134.0
4,6,2,5,6,30768.0
4,6,2,5,11,37881.0
4,6,2,5,5,31127.0
4,6,2,3,2,29634.0
4,6,2,3,1,17912.0
4,6,2,3,4,17813.0
4,6,2,3,6,29771.0
4,6,2,11,1,24971.0
4,6,2,11,0,30838.0
4,6,2,11,3,31478.0
4,6,2,11,5,38663.0
4,6,5,6,1,28407.0
4,6,5,6,3,55164.0
4,6,5,6,11,66101.0
4,6,5,6,4,33240.0
4,6,5,1,0,28532.0
4,6,5,1,11,36500.0
4,6,5,1,2,22592.0
4,6,5,1,7,26517.0
4,6,5,2,4,21326.0
4,6,5,2,6,35210.0
4,6,5,2,0,31830.0
4,6,5,2,3,33296.0
4,6,5,5,11,69176.0
4,6,5,5,7,49940.0
4,6,5,5,0,60682.0
4,6,5,5,1,29906.0
4,6,6,6,3,57571.0
4,6,6,6,6,54527.0
4,6,6,6,0,58758.0
4,6,6,6,4,33413.0
4,6,6,11,4,29772.0
4,6,6,11,5,67559.0
4,6,6,11,11,76396.0
4,6,6,11,7,65724.0
4,6,6,1,5,28821.0
4,6,6,1,4,15017.0
4,6,6,1,3,28816.0
4,6,6,1,6,28942.0
4,6,6,5,1,30156.0
4,6,6,5,11,69773.0
4,6,6,5,7,54911.0
4,6,6,5,5,60956.0
4,6,1,5,1,28763.0
4,6,1,5,5,27386.0
4,6,1,5,0,28014.0
4,6,1,5,3,27738.0
4,6,1,11,3,28730.0
4,6,1,11,11,41729.0
4,6,1,11,4,17518.0
4,6,1,11,0,30193.0
4,6,1,4,6,18324.0
4,6,1,4,5,18331.0
4,6,1,4,1,18273.0
4,6,1,4,7,18299.0
4,6,1,6,4,17178.0
4,6,1,6,0,27843.0
4,6,1,6,6,28582.0
4,6,1,6,1,28567.0
4,1,4,2,0,14852.0
4,1,4,2,11,21402.0
4,1,4,2,7,12178.0
4,1,4,2,3,14796.0
4,1,4,3,5,17879.0
4,1,4,3,3,16974.0
