h0,h1,h2,h3,h4,h5,h6,Final Score
8,2,1,2,5,0,2,66259.0
8,2,1,2,5,0,7,58329.0
8,2,1,2,5,0,6,63867.0
8,2,1,2,5,1,6,70083.0
8,2,1,2,5,1,3,69102.0
8,2,1,2,5,1,4,32765.0
8,2,1,2,5,3,0,66642.0
8,2,1,2,5,3,1,67231.0
8,2,1,2,5,3,6,63910.0
8,2,1,2,0,6,6,62416.0
8,2,1,2,0,6,10,63831.0
8,2,1,2,0,6,9,63831.0
8,2,1,2,0,4,2,26866.0
8,2,1,2,0,4,9,35186.0
8,2,1,2,0,4,11,40193.0
8,2,1,2,0,10,9,68171.0
8,2,1,2,0,10,2,68171.0
8,2,1,2,0,10,4,33033.0
8,2,1,2,10,3,8,70094.0
8,2,1,2,10,3,6,67500.0
8,2,1,2,10,3,5,68553.0
8,2,1,2,10,10,8,72964.0
8,2,1,2,10,10,2,72964.0
8,2,1,2,10,10,0,68164.0
8,2,1,2,10,7,4,33612.0
8,2,1,2,10,7,6,55446.0
8,2,1,2,10,7,2,51628.0
8,2,1,11,9,2,7,65375.0
8,2,1,11,9,2,0,66641.0
8,2,1,11,9,2,2,76131.0
8,2,1,11,9,3,11,81255.0
8,2,1,11,9,3,8,73446.0
8,2,1,11,9,3,3,70296.0
8,2,1,11,9,5,8,83051.0
8,2,1,11,9,5,10,83051.0
8,2,1,11,9,5,6,79817.0
8,2,1,11,0,5,5,67624.0
8,2,1,11,0,5,9,68164.0
8,2,1,11,0,5,4,36038.0
8,2,1,11,0,7,5,56411.0
8,2,1,11,0,7,7,46280.0
8,2,1,11,0,7,2,50238.0
8,2,1,11,0,0,9,69372.0
8,2,1,11,0,0,4,31875.0
8,2,1,11,0,0,3,67639.0
8,2,1,11,3,11,10,80643.0
8,2,1,11,3,11,11,87443.0
8,2,1,11,3,11,0,68954.0
8,2,1,11,3,1,5,71109.0
8,2,1,11,3,1,4,34374.0
8,2,1,11,3,1,8,71896.0
8,2,1,11,3,2,11,75839.0
8,2,1,11,3,2,0,67058.0
8,2,1,11,3,2,1,69220.0
8,2,1,10,4,9,4,21245.0
8,2,1,10,4,9,0,33854.0
8,2,1,10,4,9,10,36145.0
8,2,1,10,4,4,7,17510.0
8,2,1,10,4,4,1,19121.0
8,2,1,10,4,4,10,19575.0
8,2,1,10,4,0,11,42843.0
8,2,1,10,4,0,3,32591.0
8,2,1,10,4,0,1,33575.0
8,2,1,10,9,0,2,67885.0
8,2,1,10,9,0,10,68465.0
8,2,1,10,9,0,8,68465.0
8,2,1,10,9,8,2,72864.0
8,2,1,10,9,8,5,73293.0
8,2,1,10,9,8,9,73614.0
8,2,1,10,9,3,8,69247.0
8,2,1,10,9,3,0,67453.0
8,2,1,10,9,3,6,65835.0
8,2,1,10,8,10,3,68889.0
8,2,1,10,8,10,0,68460.0
8,2,1,10,8,10,5,72188.0
8,2,1,10,8,7,5,62942.0
8,2,1,10,8,7,3,59939.0
8,2,1,10,8,7,10,63554.0
8,2,1,10,8,4,7,29102.0
8,2,1,10,8,4,6,32114.0
8,2,1,10,8,4,1,34440.0
8,2,9,5,11,11,5,118837.0
8,2,9,5,11,11,6,114198.0
8,2,9,5,11,11,11,124536.0
8,2,9,5,11,7,10,91973.0
8,2,9,5,11,7,6,85575.0
8,2,9,5,11,7,1,64577.0
8,2,9,5,11,5,10,109257.0
8,2,9,5,11,5,6,104904.0
8,2,9,5,11,5,4,54244.0
8,2,9,5,2,5,9,101191.0
8,2,9,5,2,5,6,96910.0
8,2,9,5,2,5,5,99667.0
8,2,9,5,2,10,4,43803.0
8,2,9,5,2,10,2,103306.0
8,2,9,5,2,10,1,70610.0
8,2,9,5,2,8,8,103306.0
8,2,9,5,2,8,6,98921.0
8,2,9,5,2,8,11,107313.0
8,2,9,5,9,4,0,42530.0
8,2,9,5,9,4,1,34378.0
8,2,9,5,9,4,4,27596.0
8,2,9,5,9,8,9,103306.0
8,2,9,5,9,8,0,96676.0
8,2,9,5,9,8,11,108815.0
8,2,9,5,9,9,4,44764.0
8,2,9,5,9,9,6,100043.0
8,2,9,5,9,9,2,103306.0
8,2,9,9,10,1,0,68216.0
8,2,9,9,10,1,7,63606.0
8,2,9,9,10,1,9,75478.0
8,2,9,9,10,4,5,53409.0
8,2,9,9,10,4,2,43641.0
8,2,9,9,10,4,3,51982.0
8,2,9,9,10,11,8,116291.0
8,2,9,9,10,11,4,53556.0
8,2,9,9,10,11,11,122495.0
8,2,9,9,5,9,10,105657.0
8,2,9,9,5,9,3,102471.0
8,2,9,9,5,9,0,96529.0
8,2,9,9,5,5,4,47564.0
8,2,9,9,5,5,3,101496.0
8,2,9,9,5,5,10,104444.0
8,2,9,9,5,4,2,40324.0
8,2,9,9,5,4,0,49427.0
8,2,9,9,5,4,5,49568.0
8,2,9,9,9,2,5,105209.0
8,2,9,9,9,2,6,100044.0
8,2,9,9,9,2,7,91891.0
8,2,9,9,9,7,10,87127.0
8,2,9,9,9,7,8,87127.0
8,2,9,9,9,7,3,84300.0
8,2,9,9,9,9,8,107550.0
8,2,9,9,9,9,0,99668.0
8,2,9,9,9,9,2,107550.0
8,2,9,0,8,11,0,98761.0
8,2,9,0,8,11,11,117611.0
8,2,9,0,8,11,3,98349.0
8,2,9,0,8,3,7,83168.0
8,2,9,0,8,3,3,95251.0
8,2,9,0,8,3,1,68148.0
8,2,9,0,8,8,4,46241.0
8,2,9,0,8,8,8,98459.0
8,2,9,0,8,8,5,97265.0
8,2,9,0,7,9,0,79561.0
8,2,9,0,7,9,9,79691.0
8,2,9,0,7,9,2,72331.0
8,2,9,0,7,11,8,85611.0
8,2,9,0,7,11,3,78915.0
8,2,9,0,7,11,6,79608.0
8,2,9,0,7,2,1,50675.0
8,2,9,0,7,2,11,77766.0
8,2,9,0,7,2,10,72241.0
8,2,9,0,2,11,10,101202.0
8,2,9,0,2,11,5,99786.0
8,2,9,0,2,11,1,75388.0
8,2,9,0,2,5,5,95240.0
8,2,9,0,2,5,8,96698.0
8,2,9,0,2,5,11,101594.0
8,2,9,0,2,1,4,32503.0
8,2,9,0,2,1,11,77395.0
8,2,9,0,2,1,2,68467.0
8,2,4,1,0,2,9,31925.0
8,2,4,1,0,2,2,31925.0
8,2,4,1,0,2,5,31813.0
8,2,4,1,0,4,0,20907.0
8,2,4,1,0,4,6,21204.0
8,2,4,1,0,4,7,20391.0
8,2,4,1,0,9,6,40986.0
8,2,4,1,0,9,7,32597.0
8,2,4,1,0,9,3,40053.0
8,2,4,1,9,0,11,46935.0
8,2,4,1,9,0,3,40308.0
8,2,4,1,9,0,7,35409.0
8,2,4,1,9,9,9,42819.0
8,2,4,1,9,9,6,40373.0
8,2,4,1,9,9,4,22069.0
8,2,4,1,9,2,4,20585.0
8,2,4,1,9,2,0,30880.0
8,2,4,1,9,2,3,31064.0
8,2,4,1,6,5,5,38955.0
8,2,4,1,6,5,8,38955.0
