h0,h1,h2,h3,h4,h5,h6,Final Score
10,11,7,3,8,8,10,112538.0
10,11,7,3,8,8,3,106521.0
10,11,7,3,8,8,2,77618.0
10,11,7,3,8,9,4,54210.0
10,11,7,3,8,9,7,96311.0
10,11,7,3,8,9,10,112538.0
10,11,7,3,8,6,3,99911.0
10,11,7,3,8,6,11,111626.0
10,11,7,3,8,6,9,105596.0
10,11,7,3,4,9,11,69182.0
10,11,7,3,4,9,9,60951.0
10,11,7,3,4,9,10,60951.0
10,11,7,3,4,3,8,60352.0
10,11,7,3,4,3,5,57686.0
10,11,7,3,4,3,0,60238.0
10,11,7,3,4,0,7,49875.0
10,11,7,3,4,0,0,60233.0
10,11,7,3,4,0,9,60233.0
10,11,7,3,9,4,9,46509.0
10,11,7,3,9,4,11,50592.0
10,11,7,3,9,4,10,46509.0
10,11,7,3,9,7,10,90446.0
10,11,7,3,9,7,4,44441.0
10,11,7,3,9,7,0,88457.0
10,11,7,3,9,6,3,104533.0
10,11,7,3,9,6,0,103761.0
10,11,7,3,9,6,5,108126.0
10,11,7,6,0,5,4,51220.0
10,11,7,6,0,5,11,112285.0
10,11,7,6,0,5,3,101620.0
10,11,7,6,0,11,11,118436.0
10,11,7,6,0,11,6,106815.0
10,11,7,6,0,11,0,103953.0
10,11,7,6,0,10,1,56896.0
10,11,7,6,0,10,2,72556.0
10,11,7,6,0,10,8,103486.0
10,11,7,6,10,9,11,115930.0
10,11,7,6,10,9,7,100572.0
10,11,7,6,10,9,9,111016.0
10,11,7,6,10,6,5,106023.0
10,11,7,6,10,6,0,99681.0
10,11,7,6,10,6,6,102766.0
10,11,7,6,10,3,8,100640.0
10,11,7,6,10,3,6,97406.0
10,11,7,6,10,3,10,100640.0
10,11,7,6,6,0,8,96953.0
10,11,7,6,6,0,3,92936.0
10,11,7,6,6,0,4,42506.0
10,11,7,6,6,7,3,73862.0
10,11,7,6,6,7,9,82428.0
10,11,7,6,6,7,2,50758.0
10,11,7,6,6,4,1,30086.0
10,11,7,6,6,4,5,42934.0
10,11,7,6,6,4,6,37099.0
10,11,7,5,9,8,10,116808.0
10,11,7,5,9,8,8,116808.0
10,11,7,5,9,8,6,108975.0
10,11,7,5,9,6,11,117900.0
10,11,7,5,9,6,8,109197.0
10,11,7,5,9,6,1,61921.0
10,11,7,5,9,2,3,74270.0
10,11,7,5,9,2,0,70661.0
10,11,7,5,9,2,11,90244.0
10,11,7,5,0,5,10,109250.0
10,11,7,5,0,5,1,59408.0
10,11,7,5,0,5,5,107545.0
10,11,7,5,0,4,1,29902.0
10,11,7,5,0,4,9,50644.0
10,11,7,5,0,4,7,43140.0
10,11,7,5,0,1,3,58278.0
10,11,7,5,0,1,5,57370.0
10,11,7,5,0,1,11,65393.0
10,11,7,5,2,3,4,38072.0
10,11,7,5,2,3,0,70892.0
10,11,7,5,2,3,3,72711.0
10,11,7,5,2,4,2,28044.0
10,11,7,5,2,4,7,31342.0
10,11,7,5,2,4,10,37414.0
10,11,7,5,2,11,4,43451.0
10,11,7,5,2,11,1,61795.0
10,11,7,5,2,11,9,86925.0
10,11,9,3,8,5,10,132084.0
10,11,9,3,8,5,1,74158.0
10,11,9,3,8,5,5,130640.0
10,11,9,3,8,8,3,130986.0
10,11,9,3,8,8,2,105340.0
10,11,9,3,8,8,1,73414.0
10,11,9,3,8,10,1,74612.0
10,11,9,3,8,10,6,125971.0
10,11,9,3,8,10,4,60497.0
10,11,9,3,4,0,8,54228.0
10,11,9,3,4,0,0,54228.0
10,11,9,3,4,0,10,54228.0
10,11,9,3,4,2,1,19832.0
10,11,9,3,4,2,5,34538.0
10,11,9,3,4,2,6,34164.0
10,11,9,3,4,4,3,23987.0
10,11,9,3,4,4,0,24832.0
10,11,9,3,4,4,6,25207.0
10,11,9,3,3,3,6,122674.0
10,11,9,3,3,3,7,110723.0
10,11,9,3,3,3,0,127382.0
10,11,9,3,3,7,11,113857.0
10,11,9,3,3,7,6,102856.0
10,11,9,3,3,7,9,106932.0
10,11,9,3,3,4,7,44601.0
10,11,9,3,3,4,4,23196.0
10,11,9,3,3,4,10,55058.0
10,11,9,2,3,1,7,64112.0
10,11,9,2,3,1,6,68570.0
10,11,9,2,3,1,5,70537.0
10,11,9,2,3,6,2,89349.0
10,11,9,2,3,6,4,43850.0
10,11,9,2,3,6,6,88942.0
10,11,9,2,3,7,2,77764.0
10,11,9,2,3,7,7,69501.0
10,11,9,2,3,7,4,39937.0
10,11,9,2,8,2,7,87254.0
10,11,9,2,8,2,2,103745.0
10,11,9,2,8,2,4,48437.0
10,11,9,2,8,3,8,99637.0
10,11,9,2,8,3,9,99637.0
10,11,9,2,8,3,10,99637.0
10,11,9,2,8,6,0,89764.0
10,11,9,2,8,6,6,90269.0
10,11,9,2,8,6,11,102031.0
10,11,9,2,0,5,7,74706.0
10,11,9,2,0,5,11,98215.0
10,11,9,2,0,5,1,66584.0
10,11,9,2,0,1,5,67565.0
10,11,9,2,0,1,11,74099.0
10,11,9,2,0,1,1,67985.0
10,11,9,2,0,10,0,95093.0
10,11,9,2,0,10,2,94693.0
10,11,9,2,0,10,9,95093.0
10,11,9,6,9,0,1,69419.0
10,11,9,6,9,0,7,107206.0
10,11,9,6,9,0,9,129359.0
10,11,9,6,9,5,9,133344.0
10,11,9,6,9,5,1,74296.0
10,11,9,6,9,5,7,113060.0
10,11,9,6,9,1,8,77353.0
10,11,9,6,9,1,7,66723.0
10,11,9,6,9,1,2,70033.0
10,11,9,6,0,1,9,69436.0
10,11,9,6,0,1,1,69436.0
10,11,9,6,0,1,2,66146.0
10,11,9,6,0,6,5,122458.0
10,11,9,6,0,6,10,124125.0
10,11,9,6,0,6,7,99634.0
10,11,9,6,0,11,2,96089.0
10,11,9,6,0,11,1,75537.0
10,11,9,6,0,11,6,131097.0
10,11,9,6,6,2,11,95889.0
10,11,9,6,6,2,3,83986.0
10,11,9,6,6,2,7,77150.0
10,11,9,6,6,8,8,129486.0
10,11,9,6,6,8,1,70264.0
